"Variables","Est._Car_class1","Est._Car_class2","Est._Car_class3","Est._SUV_class1","Est._SUV_class2","Est._SUV_class3","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Std.Err._Car_class1","Std.Err._Car_class2","Std.Err._Car_class3","Std.Err._SUV_class1","Std.Err._SUV_class2","Std.Err._SUV_class3","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Sig._Car_class1","Sig._Car_class2","Sig._Car_class3","Sig._SUV_class1","Sig._SUV_class2","Sig._SUV_class3","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","label","section","fmt"
"hhincome",0.13,NA,0.09,0.11,NA,0.05,0,NA,0.01,0.03,NA,0.03,0.02,NA,0.02,0.02,NA,0.02,"***",NA,"*","***",NA,"."," ",NA," ","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",0.32,NA,0.32,0.43,NA,0.59,0.04,NA,0.56,0.28,NA,0.31,0.23,NA,0.27,0.23,NA,0.2," ",NA," ",".",NA,"*"," ",NA,"***","Electrical Outlet Access","Active Indicators","pct"
"ev_neighbor",0.66,NA,1.02,0.22,NA,0.21,NA,NA,NA,0.3,NA,0.3,0.23,NA,0.27,NA,NA,NA,"*",NA,"***"," ",NA," ",NA,NA,NA,"ev_neighbor",NA,NA
"knowledge_ev",0.28,NA,-0.44,0.38,NA,0.06,NA,NA,NA,0.29,NA,0.37,0.23,NA,0.27,NA,NA,NA," ",NA," "," ",NA," ",NA,NA,NA,"knowledge_ev",NA,NA
"evenvironment_agree",1.25,NA,0.43,0.87,NA,0.05,1.22,NA,1.15,0.57,NA,0.39,0.22,NA,0.25,0.25,NA,0.2,"*",NA," ","***",NA," ","***",NA,"***","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",1.1,NA,0.02,0.47,NA,0.76,0.83,NA,1.24,0.4,NA,0.45,0.3,NA,0.33,0.34,NA,0.31,"*",NA," "," ",NA,"*","*",NA,"***","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",0.03,NA,-0.54,-0.07,NA,-0.58,-0.85,NA,-0.72,0.36,NA,0.34,0.31,NA,0.35,0.34,NA,0.31," ",NA," "," ",NA," ","*",NA,"*","Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_refuel",0.02,NA,0.04,0.05,NA,0.08,NA,NA,NA,0.04,NA,0.04,0.04,NA,0.04,NA,NA,NA," ",NA," "," ",NA,"*",NA,NA,NA,"veh_refuel",NA,NA
"veh_range",0.05,NA,-0.27,-0.1,NA,-0.42,-0.19,NA,-0.32,0.16,NA,0.12,0.11,NA,0.12,0.11,NA,0.1," ",NA,"*"," ",NA,"***",".",NA,"***","Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",NA,NA,NA,NA,NA,NA,-0.14,NA,-0.18,NA,NA,NA,NA,NA,NA,0.21,NA,0.19,NA,NA,NA,NA,NA,NA," ",NA," ","SUV Segment","Active Indicators","pct"
