Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_5c_refurb_treat_1
Model description                           : LC model with 5 classes, piecewise linear range and range loss, refurbishment x treatment interactions
Model run at                                : 2026-05-05 11:39:06.331425
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.122228
     reciprocal of condition number         : 2.78615e-06
Number of individuals                       : 1373
Number of rows in database                  : 8238
Number of modelled outcomes                 : 8238

Number of cores used                        :  2 
Model without mixing

LL(start)                                   : -7808.25
LL (whole model) at equal shares, LL(0)     : -11420.29
LL (whole model) at observed shares, LL(C)  : -11409.83
LL(final, whole model)                      : -7801.7
Rho-squared vs equal shares                  :  0.3169 
Adj.Rho-squared vs equal shares              :  0.3073 
Rho-squared vs observed shares               :  0.3162 
Adj.Rho-squared vs observed shares           :  0.308 
AIC                                         :  15821.39 
BIC                                         :  16586.19 

LL(0,Class_1)                    : -11420.29
LL(final,Class_1)                : -30065.3
LL(0,Class_2)                    : -11420.29
LL(final,Class_2)                : -10533.25
LL(0,Class_3)                    : -11420.29
LL(final,Class_3)                : -15613.1
LL(0,Class_4)                    : -11420.29
LL(final,Class_4)                : -17402.14
LL(0,Class_5)                    : -11420.29
LL(final,Class_5)                : -13479.67

Estimated parameters                        : 109
Time taken (hh:mm:ss)                       :  00:06:52.73 
     pre-estimation                         :  00:00:8.86 
     estimation                             :  00:00:15.86 
     post-estimation                        :  00:06:28.01 
Iterations                                  :  28  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)
gamma_EV_rangeanxiety_d          0.295655     0.33305     0.88773
gamma_risktaker_d               -1.202788     0.30762    -3.90997
gamma_hhincome_d                -0.046034     0.02954    -1.55858
gamma_ev_charge_d               -0.277528     0.29567    -0.93866
gamma_knowledge_ev_d            -0.180378     0.31466    -0.57325
gamma_evb_environment_agree_d    0.844992     0.27957     3.02250
gamma_evb_function_disagree_d    0.092077     0.32969     0.27928
gamma_hhveh_fuel_d               0.768011     0.42288     1.81614
gamma_veh_range_d                0.239550     0.12523     1.91293
gamma_suv_d                     -0.342324     0.28447    -1.20337
delta_e                          0.000000          NA          NA
gamma_EV_rangeanxiety_e          0.000000          NA          NA
gamma_risktaker_e                0.000000          NA          NA
gamma_hhincome_e                 0.000000          NA          NA
gamma_ev_charge_e                0.000000          NA          NA
gamma_knowledge_ev_e             0.000000          NA          NA
gamma_evb_environment_agree_e    0.000000          NA          NA
gamma_evb_function_disagree_e    0.000000          NA          NA
gamma_hhveh_fuel_e               0.000000          NA          NA
gamma_veh_range_e                0.000000          NA          NA
gamma_suv_e                      0.000000          NA          NA
                               p(2-sided)    Rob.s.e. Rob.t.rat.(0)
b_no_choice_a                    0.999713     1.69844    3.7849e-04
b_mileage_a                      0.001578     0.20083      -2.60854
b_range_pw1_a                    0.214582     1.33004       1.24689
b_range_pw2_a                    0.143501     2.04212       0.90021
b_range_pw3_a                    0.057405     0.67037       1.46277
b_loss_pw1_a                     0.003463     0.07873      -2.91752
b_loss_pw2_a                     0.733961     0.08899      -0.29507
b_loss_pw3_a                     0.391984     0.11928      -1.01753
b_packreplace_treat_a            0.608073     1.02600      -0.38603
b_cellreplace_treat_a            0.329705     4.12303      -0.66184
b_packreplace_a                  0.150981     0.53525      -1.35948
b_cellreplace_a                  0.444015     0.68847      -0.56939
b_price_a                        0.003154     0.52794      -1.98218
b_no_choice_b                   5.828e-12     0.65763      -4.55283
b_mileage_b                     5.810e-11     0.04196      -5.55250
b_range_pw1_b                    0.001572     0.53456       1.76589
b_range_pw2_b                   7.050e-06     0.30370       3.72294
b_range_pw3_b                   1.304e-06     0.22769       3.54377
b_loss_pw1_b                    7.527e-11     0.02220      -6.00768
b_loss_pw2_b                    3.361e-07     0.01970      -4.00528
b_loss_pw3_b                     0.017340     0.02669      -2.01560
b_packreplace_treat_b            0.203629     0.24634      -0.99290
b_cellreplace_treat_b            0.953723     0.22292      -0.04929
b_packreplace_b                7.7373e-04     0.21129      -2.47196
b_cellreplace_b                 4.028e-05     0.20766      -3.09478
b_price_b                        0.000000     0.14685      -6.30961
b_no_choice_c                   1.465e-09     1.39315      -2.70223
b_mileage_c                     6.217e-15     0.05390      -5.28694
b_range_pw1_c                   1.170e-13     1.48671       2.72465
b_range_pw2_c                   5.238e-09     0.50228       3.55430
b_range_pw3_c                   5.851e-13     0.40851       3.51595
b_loss_pw1_c                    8.583e-10     0.02657      -5.10535
b_loss_pw2_c                     0.000000     0.01684      -9.26749
b_loss_pw3_c                     0.002117     0.02188      -2.78428
b_packreplace_treat_c            0.077449     0.27440      -1.35922
b_cellreplace_treat_c            0.159864     0.26182      -1.08900
b_packreplace_c                  0.219844     0.21242      -0.87291
b_cellreplace_c                  0.310119     0.20958      -0.72375
b_price_c                        0.000000     0.14733      -7.02921
b_no_choice_d                    0.000000     1.60469      -8.24312
b_mileage_d                      0.002761     0.08033      -2.18181
b_range_pw1_d                    0.294485     0.35184       0.90879
b_range_pw2_d                    0.052911     0.71702       1.33176
b_range_pw3_d                    0.051297     0.73885       1.28766
b_loss_pw1_d                     0.041862     0.03822      -1.91927
b_loss_pw2_d                     0.013351     0.04513      -1.40190
b_loss_pw3_d                   1.9843e-04     0.04390      -2.74599
b_packreplace_treat_d            0.966656     0.45130       0.03131
b_cellreplace_treat_d            0.477006     0.49671      -0.49554
b_packreplace_d                  0.795526     0.31147       0.20219
b_cellreplace_d                  0.237692     0.40728       0.76239
b_price_d                        0.000000     0.60463      -6.95136
b_no_choice_e                   9.970e-14     1.10538      -4.05564
b_mileage_e                    7.6457e-04     0.04616      -2.45300
b_range_pw1_e                    0.934252     0.38931      -0.06473
b_range_pw2_e                    0.038582     0.29674      -1.72124
b_range_pw3_e                    0.360876     0.24460       0.59547
b_loss_pw1_e                     0.102340     0.03630      -1.05708
b_loss_pw2_e                     0.036103     0.03304      -1.03570
b_loss_pw3_e                     0.630860     0.01796      -0.45697
b_packreplace_treat_e            0.372854     0.32799       0.59848
b_cellreplace_treat_e            0.058073     0.37108       1.19579
b_packreplace_e                  0.081415     0.30536      -0.96496
b_cellreplace_e                  0.003719     0.33966      -1.62762
b_price_e                        0.002157     0.08405      -2.44949
delta_a                         3.312e-06     0.68288      -4.36826
gamma_EV_rangeanxiety_a        3.0634e-04     0.37128       3.56355
gamma_risktaker_a              1.6755e-04     0.28549      -3.41306
gamma_hhincome_a                 0.571589     0.02236       0.55664
gamma_ev_charge_a                0.027421     0.28156      -1.99913
gamma_knowledge_ev_a             0.484378     0.32320      -0.59848
gamma_evb_environment_agree_a    0.131847     0.28145      -1.34834
gamma_evb_function_disagree_a    0.009903     0.39817      -2.29999
gamma_hhveh_fuel_a               0.006821     0.37625       2.60718
gamma_veh_range_a               5.754e-06     0.13126       4.00025
gamma_suv_a                      0.465586     0.29023       0.63391
delta_b                          0.058613     0.57800      -1.73555
gamma_EV_rangeanxiety_b          0.177940     0.28282       1.26679
gamma_risktaker_b              5.5340e-04     0.28763      -2.93062
gamma_hhincome_b                 0.230374     0.02098       1.15315
gamma_ev_charge_b                0.018881     0.28259      -2.00459
gamma_knowledge_ev_b             0.576004     0.34224       0.46217
gamma_evb_environment_agree_b    0.002244     0.27473       2.59425
gamma_evb_function_disagree_b    0.450914     0.30821      -0.68193
gamma_hhveh_fuel_b               0.583483     0.29631       0.51822
gamma_veh_range_b                0.004561     0.10664       2.74908
gamma_suv_b                      0.862610     0.26740      -0.15452
delta_c                         7.012e-05     0.97145      -2.45471
gamma_EV_rangeanxiety_c          0.003236     0.28852       2.81654
gamma_risktaker_c                0.165491     0.30271      -1.08140
gamma_hhincome_c                 0.020965     0.01950       2.30508
gamma_ev_charge_c                0.885824     0.29534      -0.11569
gamma_knowledge_ev_c             0.305918     0.34189       0.84698
gamma_evb_environment_agree_c   7.620e-06     0.31404       3.38003
gamma_evb_function_disagree_c    0.108101     0.31707       1.34552
gamma_hhveh_fuel_c               0.238700     0.32225       1.03100
gamma_veh_range_c                0.004582     0.11592       2.54812
gamma_suv_c                      0.552191     0.32861       0.44794
delta_d                          0.117372     0.75697      -1.40267
gamma_EV_rangeanxiety_d          0.374687     0.36337       0.81364
gamma_risktaker_d               9.231e-05     0.34521      -3.48421
gamma_hhincome_d                 0.119097     0.03382      -1.36128
gamma_ev_charge_d                0.347908     0.34682      -0.80021
gamma_knowledge_ev_d             0.566476     0.37719      -0.47821
gamma_evb_environment_agree_d    0.002507     0.32289       2.61697
gamma_evb_function_disagree_d    0.780027     0.40426       0.22777
gamma_hhveh_fuel_d               0.069349     0.49538       1.55036
gamma_veh_range_d                0.055757     0.12953       1.84932
gamma_suv_d                      0.228832     0.34710      -0.98625
delta_e                                NA          NA            NA
gamma_EV_rangeanxiety_e                NA          NA            NA
gamma_risktaker_e                      NA          NA            NA
gamma_hhincome_e                       NA          NA            NA
gamma_ev_charge_e                      NA          NA            NA
gamma_knowledge_ev_e                   NA          NA            NA
gamma_evb_environment_agree_e          NA          NA            NA
gamma_evb_function_disagree_e          NA          NA            NA
gamma_hhveh_fuel_e                     NA          NA            NA
gamma_veh_range_e                      NA          NA            NA
gamma_suv_e                            NA          NA            NA
                               p(2-sided)
b_no_choice_a                    0.999698
b_mileage_a                      0.009093
b_range_pw1_a                    0.212436
b_range_pw2_a                    0.368007
b_range_pw3_a                    0.143529
b_loss_pw1_a                     0.003528
b_loss_pw2_a                     0.767942
b_loss_pw3_a                     0.308904
b_packreplace_treat_a            0.699473
b_cellreplace_treat_a            0.508071
b_packreplace_a                  0.173995
b_cellreplace_a                  0.569090
b_price_a                        0.047460
b_no_choice_b                   5.293e-06
b_mileage_b                     2.816e-08
b_range_pw1_b                    0.077414
b_range_pw2_b                  1.9692e-04
b_range_pw3_b                  3.9445e-04
b_loss_pw1_b                    1.882e-09
b_loss_pw2_b                    6.194e-05
b_loss_pw3_b                     0.043842
b_packreplace_treat_b            0.320757
b_cellreplace_treat_b            0.960691
b_packreplace_b                  0.013437
b_cellreplace_b                  0.001970
b_price_b                       2.797e-10
b_no_choice_c                    0.006888
b_mileage_c                     1.244e-07
b_range_pw1_c                    0.006437
b_range_pw2_c                  3.7899e-04
b_range_pw3_c                  4.3818e-04
b_loss_pw1_c                    3.302e-07
b_loss_pw2_c                     0.000000
b_loss_pw3_c                     0.005365
b_packreplace_treat_c            0.174078
b_cellreplace_treat_c            0.276153
b_packreplace_c                  0.382713
b_cellreplace_c                  0.469221
b_price_c                       2.077e-12
b_no_choice_d                   2.220e-16
b_mileage_d                      0.029123
b_range_pw1_d                    0.363459
b_range_pw2_d                    0.182937
b_range_pw3_d                    0.197865
b_loss_pw1_d                     0.054951
b_loss_pw2_d                     0.160944
b_loss_pw3_d                     0.006033
b_packreplace_treat_d            0.975023
b_cellreplace_treat_d            0.620218
b_packreplace_d                  0.839769
b_cellreplace_d                  0.445827
b_price_d                       3.618e-12
b_no_choice_e                   5.000e-05
b_mileage_e                      0.014167
b_range_pw1_e                    0.948389
b_range_pw2_e                    0.085207
b_range_pw3_e                    0.551531
b_loss_pw1_e                     0.290473
b_loss_pw2_e                     0.300343
b_loss_pw3_e                     0.647691
b_packreplace_treat_e            0.549520
b_cellreplace_treat_e            0.231780
b_packreplace_e                  0.334564
b_cellreplace_e                  0.103605
b_price_e                        0.014306
delta_a                         1.252e-05
gamma_EV_rangeanxiety_a        3.6587e-04
gamma_risktaker_a              6.4239e-04
gamma_hhincome_a                 0.577773
gamma_ev_charge_a                0.045594
gamma_knowledge_ev_a             0.549519
gamma_evb_environment_agree_a    0.177548
gamma_evb_function_disagree_a    0.021449
gamma_hhveh_fuel_a               0.009129
gamma_veh_range_a               6.328e-05
gamma_suv_a                      0.526136
delta_b                          0.082643
gamma_EV_rangeanxiety_b          0.205230
gamma_risktaker_b                0.003383
gamma_hhincome_b                 0.248849
gamma_ev_charge_b                0.045007
gamma_knowledge_ev_b             0.643959
gamma_evb_environment_agree_b    0.009480
gamma_evb_function_disagree_b    0.495284
gamma_hhveh_fuel_b               0.604307
gamma_veh_range_b                0.005976
gamma_suv_b                      0.877196
delta_c                          0.014100
gamma_EV_rangeanxiety_c          0.004854
gamma_risktaker_c                0.279521
gamma_hhincome_c                 0.021162
gamma_ev_charge_c                0.907897
gamma_knowledge_ev_c             0.397005
gamma_evb_environment_agree_c  7.2479e-04
gamma_evb_function_disagree_c    0.178459
gamma_hhveh_fuel_c               0.302539
gamma_veh_range_c                0.010831
gamma_suv_c                      0.654199
delta_d                          0.160716
gamma_EV_rangeanxiety_d          0.415849
gamma_risktaker_d              4.9359e-04
gamma_hhincome_d                 0.173426
gamma_ev_charge_d                0.423589
gamma_knowledge_ev_d             0.632499
gamma_evb_environment_agree_d    0.008872
gamma_evb_function_disagree_d    0.819828
gamma_hhveh_fuel_d               0.121055
gamma_veh_range_d                0.064412
gamma_suv_d                      0.324011
delta_e                                NA
gamma_EV_rangeanxiety_e                NA
gamma_risktaker_e                      NA
gamma_hhincome_e                       NA
gamma_ev_charge_e                      NA
gamma_knowledge_ev_e                   NA
gamma_evb_environment_agree_e          NA
gamma_evb_function_disagree_e          NA
gamma_hhveh_fuel_e                     NA
gamma_veh_range_e                      NA
gamma_suv_e                            NA


Summary of class allocation for model component :
         Mean prob.
Class_1      0.1349
Class_2      0.2274
Class_3      0.3201
Class_4      0.1391
Class_5      0.1784


Overview of choices for MNL model component Class_1:
                                    alt1    alt2    alt3 no_choice
Times available                  8238.00 8238.00 8238.00   8238.00
Times chosen                     2006.00 2215.00 2083.00   1934.00
Percentage chosen overall          24.35   26.89   25.29     23.48
Percentage chosen when available   24.35   26.89   25.29     23.48



Overview of choices for MNL model component Class_2:
                                    alt1    alt2    alt3 no_choice
Times available                  8238.00 8238.00 8238.00   8238.00
Times chosen                     2006.00 2215.00 2083.00   1934.00
Percentage chosen overall          24.35   26.89   25.29     23.48
Percentage chosen when available   24.35   26.89   25.29     23.48



Overview of choices for MNL model component Class_3:
                                    alt1    alt2    alt3 no_choice
Times available                  8238.00 8238.00 8238.00   8238.00
Times chosen                     2006.00 2215.00 2083.00   1934.00
Percentage chosen overall          24.35   26.89   25.29     23.48
Percentage chosen when available   24.35   26.89   25.29     23.48



Overview of choices for MNL model component Class_4:
                                    alt1    alt2    alt3 no_choice
Times available                  8238.00 8238.00 8238.00   8238.00
Times chosen                     2006.00 2215.00 2083.00   1934.00
Percentage chosen overall          24.35   26.89   25.29     23.48
Percentage chosen when available   24.35   26.89   25.29     23.48



Overview of choices for MNL model component Class_5:
                                    alt1    alt2    alt3 no_choice
Times available                  8238.00 8238.00 8238.00   8238.00
Times chosen                     2006.00 2215.00 2083.00   1934.00
Percentage chosen overall          24.35   26.89   25.29     23.48
Percentage chosen when available   24.35   26.89   25.29     23.48



Classical covariance matrix:
                                              b_no_choice_a
b_no_choice_a                                      3.197340
b_mileage_a                                        0.101362
b_range_pw1_a                                      1.863296
b_range_pw2_a                                     -0.409168
b_range_pw3_a                                     -0.096526
b_loss_pw1_a                                       0.042393
b_loss_pw2_a                                      -0.016974
b_loss_pw3_a                                       0.010244
b_packreplace_treat_a                              0.049699
b_cellreplace_treat_a                             -0.538281
b_packreplace_a                                    0.063296
b_cellreplace_a                                    0.154703
b_price_a                                          0.163356
b_no_choice_b                                    6.6014e-04
b_mileage_b                                       -0.002108
b_range_pw1_b                                   -1.0455e-04
b_range_pw2_b                                      0.016052
b_range_pw3_b                                      0.007194
b_loss_pw1_b                                    -3.8670e-04
b_loss_pw2_b                                     -9.077e-05
b_loss_pw3_b                                     2.0135e-04
b_packreplace_treat_b                              0.007595
b_cellreplace_treat_b                              0.015135
b_packreplace_b                                   -0.006889
b_cellreplace_b                                   -0.009341
b_price_b                                          0.002176
b_no_choice_c                                      0.003652
b_mileage_c                                       7.157e-05
b_range_pw1_c                                      0.003937
b_range_pw2_c                                      0.002785
b_range_pw3_c                                    3.3833e-04
b_loss_pw1_c                                     1.3234e-04
b_loss_pw2_c                                     -2.252e-05
b_loss_pw3_c                                      1.391e-05
b_packreplace_treat_c                           -3.0632e-04
b_cellreplace_treat_c                           -7.4076e-04
b_packreplace_c                                 -1.2552e-04
b_cellreplace_c                                  1.1092e-04
b_price_c                                        -9.005e-06
b_no_choice_d                                      0.007286
b_mileage_d                                      2.2942e-04
b_range_pw1_d                                    9.7188e-04
b_range_pw2_d                                     -0.005441
b_range_pw3_d                                      0.009288
b_loss_pw1_d                                     -3.897e-05
b_loss_pw2_d                                     -5.886e-05
b_loss_pw3_d                                     -6.197e-05
b_packreplace_treat_d                           -8.0721e-04
b_cellreplace_treat_d                              0.002135
b_packreplace_d                                  1.2622e-04
b_cellreplace_d                                   -0.002131
b_price_d                                       -1.0123e-04
b_no_choice_e                                   -4.8402e-04
b_mileage_e                                       8.833e-05
b_range_pw1_e                                     -0.001863
b_range_pw2_e                                    8.8250e-04
b_range_pw3_e                                     -0.001476
b_loss_pw1_e                                    -1.3825e-04
b_loss_pw2_e                                     -6.956e-05
b_loss_pw3_e                                     -4.976e-05
b_packreplace_treat_e                             -0.001335
b_cellreplace_treat_e                             -0.002538
b_packreplace_e                                    0.001402
b_cellreplace_e                                    0.002348
b_price_e                                       -2.8998e-04
delta_a                                           -0.034350
gamma_EV_rangeanxiety_a                            0.006367
gamma_risktaker_a                                1.9838e-04
gamma_hhincome_a                                 5.1993e-04
gamma_ev_charge_a                               -3.3015e-04
gamma_knowledge_ev_a                               0.002202
gamma_evb_environment_agree_a                     -0.002128
gamma_evb_function_disagree_a                      0.007968
gamma_hhveh_fuel_a                                -0.003363
gamma_veh_range_a                                  0.004406
gamma_suv_a                                        0.015816
delta_b                                            0.017736
gamma_EV_rangeanxiety_b                           -0.003414
gamma_risktaker_b                                 2.267e-05
gamma_hhincome_b                                -1.6063e-04
gamma_ev_charge_b                                  0.001751
gamma_knowledge_ev_b                              -0.001721
gamma_evb_environment_agree_b                     -0.002238
gamma_evb_function_disagree_b                     -0.003698
gamma_hhveh_fuel_b                                -0.001523
gamma_veh_range_b                                 -0.003642
gamma_suv_b                                       -0.002929
delta_c                                          5.0901e-04
gamma_EV_rangeanxiety_c                         -1.3805e-04
gamma_risktaker_c                               -3.2779e-04
gamma_hhincome_c                                 -5.788e-05
gamma_ev_charge_c                                  0.001288
gamma_knowledge_ev_c                             2.3918e-04
gamma_evb_environment_agree_c                     -0.002164
gamma_evb_function_disagree_c                    1.7990e-04
gamma_hhveh_fuel_c                              -8.0154e-04
gamma_veh_range_c                               -6.5281e-04
gamma_suv_c                                        0.001024
delta_d                                            0.003889
gamma_EV_rangeanxiety_d                           -0.001295
gamma_risktaker_d                                  0.001402
gamma_hhincome_d                                 -9.199e-05
gamma_ev_charge_d                               -2.2620e-04
gamma_knowledge_ev_d                             7.0226e-04
gamma_evb_environment_agree_d                     -0.001517
gamma_evb_function_disagree_d                      0.001653
gamma_hhveh_fuel_d                                -0.003431
gamma_veh_range_d                               -9.7106e-04
gamma_suv_d                                        0.003919
                                                b_mileage_a
b_no_choice_a                                      0.101362
b_mileage_a                                        0.027486
b_range_pw1_a                                      0.003035
b_range_pw2_a                                     -0.006393
b_range_pw3_a                                     -0.006014
b_loss_pw1_a                                       0.001371
b_loss_pw2_a                                    -2.6686e-04
b_loss_pw3_a                                       0.001681
b_packreplace_treat_a                              0.013333
b_cellreplace_treat_a                             -0.037668
b_packreplace_a                                    0.001664
b_cellreplace_a                                    0.006136
b_price_a                                          0.001572
b_no_choice_b                                     -0.005917
b_mileage_b                                     -3.8809e-04
b_range_pw1_b                                   -2.1789e-04
b_range_pw2_b                                    3.8169e-04
b_range_pw3_b                                   -1.6510e-04
b_loss_pw1_b                                     -4.762e-05
b_loss_pw2_b                                     -6.449e-05
b_loss_pw3_b                                     -8.070e-05
b_packreplace_treat_b                             -0.001575
b_cellreplace_treat_b                             8.956e-05
b_packreplace_b                                    0.001048
b_cellreplace_b                                  3.0220e-04
b_price_b                                       -6.3021e-04
b_no_choice_c                                      0.001519
b_mileage_c                                      -3.636e-05
b_range_pw1_c                                      0.003536
b_range_pw2_c                                    6.9010e-04
b_range_pw3_c                                    4.4670e-04
b_loss_pw1_c                                      4.221e-05
b_loss_pw2_c                                      2.728e-06
