Model run by wuxiatian using Apollo 0.3.4 on R 4.4.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-01 22:56:49.920892
Estimation method                           : bgw
Model diagnosis                             : Relative function convergence
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.525867
     reciprocal of condition number         : 7.59992e-06
Number of individuals                       : 2916
Number of rows in database                  : 17496
Number of modelled outcomes                 : 17496

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -17055.26
LL (whole model) at equal shares, LL(0)     : -24254.61
LL (whole model) at observed shares, LL(C)  : -24038.9
LL(final, whole model)                      : -16643.01
Rho-squared vs equal shares                  :  0.3138 
Adj.Rho-squared vs equal shares              :  0.3088 
Rho-squared vs observed shares               :  0.3077 
Adj.Rho-squared vs observed shares           :  0.3034 
AIC                                         :  33528.03 
BIC                                         :  34468.17 

LL(0,Class_1)                    : -24254.61
LL(final,Class_1)                : -60708.68
LL(0,Class_2)                    : -24254.61
LL(final,Class_2)                : -30779.94
LL(0,Class_3)                    : -24254.61
LL(final,Class_3)                : -27387.32
LL(0,Class_4)                    : -24254.61
LL(final,Class_4)                : -31471.52
LL(0,Class_5)                    : -24254.61
LL(final,Class_5)                : -23678.67
LL(0,Class_6)                    : -24254.61
LL(final,Class_6)                : -29417.75

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:25:38.37 
     pre-estimation                         :  00:00:58.07 
     estimation                             :  00:02:16.16 
     post-estimation                        :  00:22:24.13 
Iterations                                  :  56  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)
b_loss_pw2_c                    -0.010585    0.008971   -1.179872    0.238051
b_loss_pw3_c                    -0.023927    0.010290   -2.325329    0.020054
b_packreplace_c                8.6180e-04    0.087272    0.009875    0.992121
b_cellreplace_c                 -0.068047    0.085302   -0.797717    0.425034
b_price_c                       -0.376438    0.067038   -5.615315   1.962e-08
b_no_choice_d                   -5.260724    0.489364  -10.750129    0.000000
b_mileage_d                     -0.285801    0.035441   -8.064205   6.661e-16
b_range_pw1_d                    4.051691    0.339971   11.917767    0.000000
b_range_pw2_d                    2.236091    0.329826    6.779612   1.205e-11
b_range_pw3_d                    3.193765    0.457679    6.978184   2.990e-12
b_loss_pw1_d                    -0.118852    0.020969   -5.667932   1.445e-08
b_loss_pw2_d                    -0.062799    0.013361   -4.700336   2.597e-06
b_loss_pw3_d                    -0.067128    0.015094   -4.447377   8.693e-06
b_packreplace_d                 -0.066117    0.095063   -0.695504    0.486739
b_cellreplace_d                 -0.075715    0.096953   -0.780946    0.434834
b_price_d                       -2.323389    0.150133  -15.475485    0.000000
b_no_choice_e                   -2.327772    0.359567   -6.473811   9.556e-11
b_mileage_e                     -0.217162    0.030604   -7.095931   1.285e-12
b_range_pw1_e                    2.053982    0.328437    6.253807   4.006e-10
b_range_pw2_e                    1.030711    0.221577    4.651707   3.292e-06
b_range_pw3_e                    1.337096    0.142800    9.363385    0.000000
b_loss_pw1_e                    -0.114250    0.017209   -6.639141   3.155e-11
b_loss_pw2_e                    -0.091980    0.013078   -7.032967   2.022e-12
b_loss_pw3_e                    -0.045502    0.019646   -2.316074    0.020554
b_packreplace_e                 -0.254579    0.099982   -2.546239    0.010889
b_cellreplace_e                 -0.279685    0.103312   -2.707194    0.006785
b_price_e                       -1.478751    0.089670  -16.490994    0.000000
b_no_choice_f                   -3.096889    0.957712   -3.233632    0.001222
b_mileage_f                     -0.241167    0.079952   -3.016384    0.002558
b_range_pw1_f                    0.648845    0.674584    0.961845    0.336128
b_range_pw2_f                    0.995434    0.508341    1.958200    0.050207
b_range_pw3_f                    0.515790    0.288880    1.785481    0.074183
b_loss_pw1_f                  -5.0626e-04    0.039294   -0.012884    0.989721
b_loss_pw2_f                    -0.103032    0.030195   -3.412220  6.4436e-04
b_loss_pw3_f                    -0.050825    0.031547   -1.611096    0.107159
b_packreplace_f                 -3.312152    0.374414   -8.846239    0.000000
b_cellreplace_f                 -3.082239    0.345498   -8.921144    0.000000
b_price_f                       -0.274430    0.176114   -1.558254    0.119173
delta_a                          0.000000          NA          NA          NA
gamma_EV_rangeanxiety_a          0.000000          NA          NA          NA
gamma_risktaker_a                0.000000          NA          NA          NA
gamma_hhincome_a                 0.000000          NA          NA          NA
gamma_ev_charge_a                0.000000          NA          NA          NA
gamma_knowledge_ev_a             0.000000          NA          NA          NA
gamma_evb_environment_agree_a    0.000000          NA          NA          NA
gamma_evb_function_disagree_a    0.000000          NA          NA          NA
gamma_hhveh_fuel_a               0.000000          NA          NA          NA
gamma_veh_range_a                0.000000          NA          NA          NA
gamma_suv_a                      0.000000          NA          NA          NA
delta_b                          0.822713    0.441460    1.863619    0.062375
gamma_EV_rangeanxiety_b         -0.007978    0.238964   -0.033384    0.973369
gamma_risktaker_b                0.626308    0.185054    3.384469  7.1316e-04
gamma_hhincome_b                 0.013898    0.014934    0.930611    0.352055
gamma_ev_charge_b                0.397306    0.177578    2.237360    0.025263
gamma_knowledge_ev_b             0.099931    0.182641    0.547146    0.584279
gamma_evb_environment_agree_b    1.173295    0.174588    6.720350   1.813e-11
gamma_evb_function_disagree_b    1.113457    0.258732    4.303521   1.681e-05
gamma_hhveh_fuel_b              -0.648597    0.252282   -2.570918    0.010143
gamma_veh_range_b               -0.128621    0.080227   -1.603199    0.108891
gamma_suv_b                     -0.232241    0.179258   -1.295573    0.195123
delta_c                          2.544582    0.435414    5.844055   5.095e-09
gamma_EV_rangeanxiety_c         -0.735250    0.233922   -3.143139    0.001671
gamma_risktaker_c                0.746058    0.195686    3.812530  1.3755e-04
gamma_hhincome_c                -0.004658    0.016218   -0.287213    0.773950
gamma_ev_charge_c                0.517582    0.188985    2.738749    0.006167
gamma_knowledge_ev_c            -0.175247    0.192494   -0.910403    0.362610
gamma_evb_environment_agree_c    0.844198    0.185122    4.560219   5.110e-06
gamma_evb_function_disagree_c    0.862829    0.270098    3.194501    0.001401
gamma_hhveh_fuel_c              -1.045578    0.255280   -4.095809   4.207e-05
gamma_veh_range_c               -0.298859    0.083934   -3.560643  3.6995e-04
gamma_suv_c                     -0.572366    0.189457   -3.021087    0.002519
delta_d                          0.500865    0.482197    1.038715    0.298937
gamma_EV_rangeanxiety_d         -0.255242    0.245037   -1.041647    0.297575
gamma_risktaker_d                0.135568    0.199538    0.679413    0.496876
gamma_hhincome_d                 0.004347    0.015987    0.271913    0.785689
gamma_ev_charge_d                0.706369    0.186756    3.782313  1.5538e-04
gamma_knowledge_ev_d             0.264590    0.198516    1.332838    0.182585
gamma_evb_environment_agree_d    1.279248    0.184174    6.945865   3.761e-12
gamma_evb_function_disagree_d    1.432056    0.262034    5.465154   4.625e-08
gamma_hhveh_fuel_d              -0.360312    0.265326   -1.358000    0.174464
gamma_veh_range_d               -0.012831    0.085772   -0.149594    0.881085
gamma_suv_d                     -0.943350    0.200172   -4.712698   2.445e-06
delta_e                          0.768373    0.482259    1.593278    0.111098
gamma_EV_rangeanxiety_e         -0.025249    0.260655   -0.096867    0.922832
gamma_risktaker_e               -0.099018    0.208796   -0.474232    0.635334
gamma_hhincome_e               1.8836e-04    0.016140    0.011671    0.990688
gamma_ev_charge_e                0.329346    0.188990    1.742664    0.081392
gamma_knowledge_ev_e             0.302670    0.199524    1.516958    0.129277
gamma_evb_environment_agree_e    0.875689    0.187150    4.679074   2.882e-06
gamma_evb_function_disagree_e    0.930385    0.272644    3.412449  6.4382e-04
gamma_hhveh_fuel_e              -0.522230    0.270174   -1.932942    0.053243
gamma_veh_range_e               -0.040365    0.087619   -0.460685    0.645025
gamma_suv_e                     -0.474113    0.193356   -2.452016    0.014206
delta_f                          1.002329    0.587191    1.706991    0.087824
gamma_EV_rangeanxiety_f         -0.166505    0.329984   -0.504586    0.613850
gamma_risktaker_f                0.768559    0.272089    2.824660    0.004733
gamma_hhincome_f                 0.001307    0.022079    0.059203    0.952790
gamma_ev_charge_f                0.264597    0.258850    1.022202    0.306685
gamma_knowledge_ev_f            -0.014336    0.276426   -0.051863    0.958638
gamma_evb_environment_agree_f    0.342090    0.252691    1.353787    0.175804
gamma_evb_function_disagree_f    0.185211    0.395993    0.467713    0.639990
gamma_hhveh_fuel_f              -1.169411    0.319040   -3.665406  2.4695e-04
gamma_veh_range_f               -0.261144    0.115795   -2.255230    0.024119
gamma_suv_f                     -0.130825    0.275108   -0.475542    0.634401
                                 Rob.s.e. Rob.t.rat.(0)  p(2-sided)
b_no_choice_a                    1.537548     -1.854570    0.063658
b_mileage_a                      0.286639     -1.200777    0.229838
b_range_pw1_a                    1.441098     -0.200344    0.841212
b_range_pw2_a                    1.293105      1.515950    0.129532
b_range_pw3_a                    0.732874      1.818619    0.068970
b_loss_pw1_a                     0.062305     -3.477455  5.0620e-04
b_loss_pw2_a                     0.060618     -0.636037    0.524752
b_loss_pw3_a                     0.088016      0.572837    0.566755
b_packreplace_a                  0.556808     -1.595365    0.110631
b_cellreplace_a                  0.397412     -2.900170    0.003730
b_price_a                        0.928435     -1.713033    0.086707
b_no_choice_b                    0.767197    -12.443993    0.000000
b_mileage_b                      0.036585     -7.783608   7.105e-15
b_range_pw1_b                    0.246231      1.145123    0.252158
b_range_pw2_b                    0.330181      2.137222    0.032580
b_range_pw3_b                    0.220310      3.304883  9.5016e-04
b_loss_pw1_b                     0.025055     -8.574225    0.000000
b_loss_pw2_b                     0.019059    -11.932941    0.000000
b_loss_pw3_b                     0.029051     -7.076059   1.483e-12
b_packreplace_b                  0.135406     -1.367953    0.171327
b_cellreplace_b                  0.128388     -2.377195    0.017445
b_price_b                        0.163239     -6.065201   1.318e-09
b_no_choice_c                    0.794788     -5.804228   6.466e-09
b_mileage_c                      0.032023     -4.436521   9.142e-06
b_range_pw1_c                    0.201603     -0.234558    0.814552
b_range_pw2_c                    0.226318     -1.001869    0.316407
b_range_pw3_c                    0.138487      1.012498    0.311300
b_loss_pw1_c                     0.015331     -0.286946    0.774154
b_loss_pw2_c                     0.009723     -1.088689    0.276291
b_loss_pw3_c                     0.010180     -2.350362    0.018755
b_packreplace_c                  0.198101      0.004350    0.996529
b_cellreplace_c                  0.189222     -0.359614    0.719136
b_price_c                        0.191400     -1.966756    0.049211
b_no_choice_d                    0.927611     -5.671262   1.417e-08
b_mileage_d                      0.053660     -5.326170   1.003e-07
b_range_pw1_d                    0.716909      5.651612   1.589e-08
b_range_pw2_d                    0.752802      2.970357    0.002975
b_range_pw3_d                    1.291641      2.472641    0.013412
b_loss_pw1_d                     0.027826     -4.271310   1.943e-05
b_loss_pw2_d                     0.016971     -3.700391  2.1527e-04
b_loss_pw3_d                     0.014355     -4.676363   2.920e-06
b_packreplace_d                  0.111297     -0.594057    0.552474
b_cellreplace_d                  0.116352     -0.650736    0.515217
b_price_d                        0.260657     -8.913596    0.000000
b_no_choice_e                    0.569503     -4.087373   4.363e-05
b_mileage_e                      0.043348     -5.009735   5.450e-07
b_range_pw1_e                    0.881592      2.329856    0.019814
b_range_pw2_e                    0.372682      2.765659    0.005681
b_range_pw3_e                    0.227927      5.866324   4.456e-09
b_loss_pw1_e                     0.022661     -5.041681   4.615e-07
b_loss_pw2_e                     0.018546     -4.959449   7.069e-07
b_loss_pw3_e                     0.029835     -1.525095    0.127235
b_packreplace_e                  0.155849     -1.633496    0.102365
b_cellreplace_e                  0.168749     -1.657401    0.097439
b_price_e                        0.182688     -8.094412   6.661e-16
b_no_choice_f                    1.874671     -1.651964    0.098542
b_mileage_f                      0.161931     -1.489326    0.136402
b_range_pw1_f                    1.768471      0.366896    0.713697
b_range_pw2_f                    1.122686      0.886654    0.375265
b_range_pw3_f                    0.496807      1.038211    0.299172
b_loss_pw1_f                     0.061495     -0.008233    0.993431
b_loss_pw2_f                     0.057976     -1.777151    0.075543
b_loss_pw3_f                     0.038438     -1.322258    0.186082
b_packreplace_f                  0.824140     -4.018917   5.847e-05
b_cellreplace_f                  0.778388     -3.959771   7.502e-05
b_price_f                        0.447578     -0.613146    0.539780
delta_a                                NA            NA          NA
gamma_EV_rangeanxiety_a                NA            NA          NA
gamma_risktaker_a                      NA            NA          NA
gamma_hhincome_a                       NA            NA          NA
gamma_ev_charge_a                      NA            NA          NA
gamma_knowledge_ev_a                   NA            NA          NA
gamma_evb_environment_agree_a          NA            NA          NA
gamma_evb_function_disagree_a          NA            NA          NA
gamma_hhveh_fuel_a                     NA            NA          NA
gamma_veh_range_a                      NA            NA          NA
gamma_suv_a                            NA            NA          NA
delta_b                          0.529960      1.552405    0.120565
gamma_EV_rangeanxiety_b          0.255993     -0.031163    0.975140
gamma_risktaker_b                0.207243      3.022089    0.002510
gamma_hhincome_b                 0.017570      0.791005    0.428941
gamma_ev_charge_b                0.188804      2.104333    0.035349
gamma_knowledge_ev_b             0.192114      0.520168    0.602946
gamma_evb_environment_agree_b    0.214795      5.462386   4.698e-08
gamma_evb_function_disagree_b    0.274380      4.058075   4.948e-05
gamma_hhveh_fuel_b               0.274985     -2.358660    0.018341
gamma_veh_range_b                0.090742     -1.417424    0.156359
gamma_suv_b                      0.205749     -1.128759    0.258999
delta_c                          0.528264      4.816876   1.458e-06
gamma_EV_rangeanxiety_c          0.255113     -2.882056    0.003951
gamma_risktaker_c                0.239866      3.110316    0.001869
gamma_hhincome_c                 0.020058     -0.232220    0.816367
gamma_ev_charge_c                0.202090      2.561144    0.010433
gamma_knowledge_ev_c             0.203663     -0.860477    0.389526
gamma_evb_environment_agree_c    0.230246      3.666498  2.4590e-04
gamma_evb_function_disagree_c    0.293016      2.944651    0.003233
gamma_hhveh_fuel_c               0.280007     -3.734113  1.8838e-04
gamma_veh_range_c                0.095949     -3.114774    0.001841
gamma_suv_c                      0.222619     -2.571060    0.010139
delta_d                          0.685721      0.730421    0.465133
gamma_EV_rangeanxiety_d          0.265684     -0.960699    0.336703
gamma_risktaker_d                0.247553      0.547635    0.583943
gamma_hhincome_d                 0.020445      0.212615    0.831628
gamma_ev_charge_d                0.214775      3.288881    0.001006
gamma_knowledge_ev_d             0.209928      1.260385    0.207531
gamma_evb_environment_agree_d    0.216985      5.895552   3.734e-09
gamma_evb_function_disagree_d    0.298346      4.799981   1.587e-06
gamma_hhveh_fuel_d               0.288920     -1.247100    0.212361
gamma_veh_range_d                0.102954     -0.124628    0.900818
gamma_suv_d                      0.291581     -3.235286    0.001215
delta_e                          0.646054      1.189332    0.234309
gamma_EV_rangeanxiety_e          0.298309     -0.084640    0.932548
gamma_risktaker_e                0.248506     -0.398451    0.690298
gamma_hhincome_e                 0.020397      0.009235    0.992632
gamma_ev_charge_e                0.200251      1.644664    0.100039
gamma_knowledge_ev_e             0.226775      1.334674    0.181983
gamma_evb_environment_agree_e    0.240498      3.641155  2.7142e-04
gamma_evb_function_disagree_e    0.292147      3.184647    0.001449
gamma_hhveh_fuel_e               0.282940     -1.845726    0.064932
gamma_veh_range_e                0.103889     -0.388541    0.697616
gamma_suv_e                      0.241663     -1.961875    0.049777
delta_f                          0.789426      1.269693    0.204194
gamma_EV_rangeanxiety_f          0.407976     -0.408126    0.683181
gamma_risktaker_f                0.461352      1.665887    0.095736
gamma_hhincome_f                 0.024668      0.052991    0.957739
gamma_ev_charge_f                0.274037      0.965555    0.334267
gamma_knowledge_ev_f             0.367567     -0.039003    0.968888
gamma_evb_environment_agree_f    0.267557      1.278566    0.201050
gamma_evb_function_disagree_f    0.512419      0.361444    0.717768
gamma_hhveh_fuel_f               0.358230     -3.264410    0.001097
gamma_veh_range_f                0.163597     -1.596259    0.110431
gamma_suv_f                      0.444670     -0.294208    0.768599


Summary of class allocation for model component :
         Mean prob.
Class_1     0.09048
Class_2     0.25328
Class_3     0.19159
Class_4     0.21866
Class_5     0.18569
Class_6     0.06030


Overview of choices for MNL model component Class_1:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_2:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_3:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_4:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_5:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_6:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Classical covariance matrix:
                                              b_no_choice_a
b_no_choice_a                                      1.114512
b_mileage_a                                        0.024830
b_range_pw1_a                                      0.575543
b_range_pw2_a                                     -0.383349
b_range_pw3_a                                     -0.113072
b_loss_pw1_a                                       0.021214
b_loss_pw2_a                                      -0.014025
b_loss_pw3_a                                      -0.001921
b_packreplace_a                                   -0.029961
b_cellreplace_a                                    0.060102
b_price_a                                          0.192005
b_no_choice_b                                     -0.008625
b_mileage_b                                     -2.1939e-04
b_range_pw1_b                                     2.828e-05
b_range_pw2_b                                     -0.006349
b_range_pw3_b                                     -0.001296
b_loss_pw1_b                                    -2.3785e-04
b_loss_pw2_b                                    -1.1566e-04
b_loss_pw3_b                                     1.1581e-04
b_packreplace_b                                    0.001242
b_cellreplace_b                                    0.001396
b_price_b                                         -0.002909
b_no_choice_c                                     -0.025316
b_mileage_c                                      -7.984e-05
b_range_pw1_c                                    7.6466e-04
b_range_pw2_c                                     -0.004431
b_range_pw3_c                                     -0.001492
b_loss_pw1_c                                     -7.956e-06
b_loss_pw2_c                                      2.792e-05
b_loss_pw3_c                                    -1.1402e-04
b_packreplace_c                                    0.002384
b_cellreplace_c                                    0.002409
b_price_c                                         -0.003607
b_no_choice_d                                      0.025739
b_mileage_d                                     -4.7040e-04
b_range_pw1_d                                      0.018900
b_range_pw2_d                                      0.005171
b_range_pw3_d                                      0.012313
b_loss_pw1_d                                    -3.9953e-04
b_loss_pw2_d                                    -1.7949e-04
b_loss_pw3_d                                    -1.0277e-04
b_packreplace_d                                  2.0638e-04
b_cellreplace_d                                   2.224e-05
b_price_d                                          0.004028
b_no_choice_e                                     -0.044971
b_mileage_e                                        0.001103
b_range_pw1_e                                     -0.062073
b_range_pw2_e                                      0.033830
b_range_pw3_e                                      0.004173
b_loss_pw1_e                                     8.0540e-04
b_loss_pw2_e                                     5.0295e-04
b_loss_pw3_e                                       0.001523
b_packreplace_e                                  4.5905e-04
b_cellreplace_e                                   -0.004136
b_price_e                                       -1.2324e-04
b_no_choice_f                                      0.018117
b_mileage_f                                        0.002046
b_range_pw1_f                                      0.020566
b_range_pw2_f                                     -0.014481
b_range_pw3_f                                      0.001051
b_loss_pw1_f                                      -0.001214
b_loss_pw2_f                                     2.9884e-04
b_loss_pw3_f                                    -3.9908e-04
b_packreplace_f                                    0.008698
b_cellreplace_f                                    0.006280
b_price_f                                          0.007025
delta_b                                            0.028085
gamma_EV_rangeanxiety_b                           -0.006811
gamma_risktaker_b                                  0.007813
gamma_hhincome_b                                  -0.001014
gamma_ev_charge_b                                3.7123e-04
gamma_knowledge_ev_b                               0.002807
gamma_evb_environment_agree_b                      0.010734
gamma_evb_function_disagree_b                     -0.001254
gamma_hhveh_fuel_b                                -0.002782
gamma_veh_range_b                                 -0.002834
gamma_suv_b                                       -0.011128
delta_c                                            0.028520
gamma_EV_rangeanxiety_c                           -0.007053
gamma_risktaker_c                                  0.007094
gamma_hhincome_c                                  -0.001035
gamma_ev_charge_c                                  0.001145
gamma_knowledge_ev_c                               0.002488
gamma_evb_environment_agree_c                      0.011081
gamma_evb_function_disagree_c                      0.001093
gamma_hhveh_fuel_c                                -0.003065
gamma_veh_range_c                                 -0.003294
gamma_suv_c                                       -0.011119
delta_d                                            0.023219
gamma_EV_rangeanxiety_d                           -0.005157
gamma_risktaker_d                                  0.010486
gamma_hhincome_d                                -8.8099e-04
gamma_ev_charge_d                                  0.001272
gamma_knowledge_ev_d                               0.002083
gamma_evb_environment_agree_d                      0.010250
gamma_evb_function_disagree_d                      0.001096
gamma_hhveh_fuel_d                                -0.005332
gamma_veh_range_d                                 -0.001921
gamma_suv_d                                       -0.013969
delta_e                                            0.044190
gamma_EV_rangeanxiety_e                           -0.011559
gamma_risktaker_e                                  0.014917
gamma_hhincome_e                                  -0.001453
gamma_ev_charge_e                                 -0.001124
gamma_knowledge_ev_e                               0.006127
gamma_evb_environment_agree_e                      0.016056
gamma_evb_function_disagree_e                     -0.004227
gamma_hhveh_fuel_e                                -0.008022
gamma_veh_range_e                                 -0.004404
gamma_suv_e                                       -0.016917
delta_f                                            0.023266
gamma_EV_rangeanxiety_f                           -0.007049
gamma_risktaker_f                                  0.018631
gamma_hhincome_f                                -8.7749e-04
gamma_ev_charge_f                               -2.9708e-04
gamma_knowledge_ev_f                               0.002449
gamma_evb_environment_agree_f                      0.005889
gamma_evb_function_disagree_f                      0.002665
gamma_hhveh_fuel_f                                -0.002304
gamma_veh_range_f                                 -0.001488
gamma_suv_f                                       -0.010277
                                                b_mileage_a
b_no_choice_a                                      0.024830
b_mileage_a                                        0.019953
b_range_pw1_a                                     -0.018587
b_range_pw2_a                                      0.002335
b_range_pw3_a                                      0.012514
b_loss_pw1_a                                       0.001181
b_loss_pw2_a                                      4.181e-05
b_loss_pw3_a                                       0.002141
b_packreplace_a                                    0.009005
b_cellreplace_a                                  3.9669e-04
b_price_a                                         -0.017246
b_no_choice_b                                     -0.001135
b_mileage_b                                       4.020e-05
b_range_pw1_b                                    -5.809e-05
b_range_pw2_b                                    9.3855e-04
b_range_pw3_b                                    1.0173e-04
b_loss_pw1_b                                      1.064e-05
b_loss_pw2_b                                     -1.089e-05
b_loss_pw3_b                                     -3.025e-05
b_packreplace_b                                 -1.5761e-04
b_cellreplace_b                                 -2.2988e-04
b_price_b                                        4.3360e-04
b_no_choice_c                                      0.003917
b_mileage_c                                       2.321e-05
b_range_pw1_c                                   -1.5165e-04
b_range_pw2_c                                    6.7947e-04
b_range_pw3_c                                    3.0593e-04
b_loss_pw1_c                                     -1.000e-05
b_loss_pw2_c                                     -1.748e-06
b_loss_pw3_c                                      2.830e-05
b_packreplace_c                                 -1.5204e-04
b_cellreplace_c                                 -1.3343e-04
b_price_c                                        3.9545e-04
b_no_choice_d                                     -0.005746
b_mileage_d                                       6.403e-05
b_range_pw1_d                                     -0.002591
b_range_pw2_d                                    5.6750e-04
b_range_pw3_d                                    3.8824e-04
b_loss_pw1_d                                      4.382e-05
b_loss_pw2_d                                      2.932e-05
b_loss_pw3_d                                      1.896e-05
b_packreplace_d                                   4.226e-05
b_cellreplace_d                                   3.775e-05
b_price_d                                       -7.4467e-04
b_no_choice_e                                   -6.8505e-04
b_mileage_e                                     -8.7302e-04
b_range_pw1_e                                      0.011202
b_range_pw2_e                                     -0.006085
b_range_pw3_e                                     -0.001070
b_loss_pw1_e                                    -2.6103e-04
