Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-08 18:49:00.387496
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.39362
     reciprocal of condition number         : 4.84466e-06
Number of individuals                       : 2916
Number of rows in database                  : 17496
Number of modelled outcomes                 : 17496

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -16551.37
LL (whole model) at equal shares, LL(0)     : -24254.61
LL (whole model) at observed shares, LL(C)  : -24038.9
LL(final, whole model)                      : -16537.86
Rho-squared vs equal shares                  :  0.3182 
Adj.Rho-squared vs equal shares              :  0.3132 
Rho-squared vs observed shares               :  0.312 
Adj.Rho-squared vs observed shares           :  0.3078 
AIC                                         :  33317.72 
BIC                                         :  34257.86 

LL(0,Class_1)                    : -24254.61
LL(final,Class_1)                : -63907.52
LL(0,Class_2)                    : -24254.61
LL(final,Class_2)                : -31075.07
LL(0,Class_3)                    : -24254.61
LL(final,Class_3)                : -35830.22
LL(0,Class_4)                    : -24254.61
LL(final,Class_4)                : -26200.61
LL(0,Class_5)                    : -24254.61
LL(final,Class_5)                : -23322.57
LL(0,Class_6)                    : -24254.61
LL(final,Class_6)                : -37317.31

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:08:17.6 
     pre-estimation                         :  00:00:14.56 
     estimation                             :  00:00:8.63 
     post-estimation                        :  00:07:54.42 
Iterations                                  :  12  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)
gamma_EV_rangeanxiety_c         -0.131066    0.265873   -0.492963    0.622038
gamma_risktaker_c                0.387382    0.207988    1.862517    0.062530
gamma_hhincome_c                 0.020928    0.016473    1.270491    0.203910
gamma_ev_charge_c                0.811616    0.198664    4.085366   4.401e-05
gamma_knowledge_ev_c             0.306515    0.219772    1.394694    0.163108
gamma_evb_environment_agree_c    1.294639    0.198412    6.524994   6.800e-11
gamma_evb_function_disagree_c    1.546611    0.272488    5.675889   1.380e-08
gamma_hhveh_fuel_c              -0.591524    0.272409   -2.171453    0.029897
gamma_veh_range_c                0.075803    0.093355    0.811991    0.416797
gamma_suv_c                     -0.984053    0.222289   -4.426912   9.559e-06
delta_d                          2.641240    0.447468    5.902640   3.577e-09
gamma_EV_rangeanxiety_d         -0.733605    0.241983   -3.031638    0.002432
gamma_risktaker_d                0.893382    0.196634    4.543368   5.536e-06
gamma_hhincome_d                 0.002929    0.016100    0.181908    0.855655
gamma_ev_charge_d                0.524640    0.191433    2.740595    0.006133
gamma_knowledge_ev_d            -0.183465    0.197758   -0.927722    0.353552
gamma_evb_environment_agree_d    0.807750    0.187189    4.315163   1.595e-05
gamma_evb_function_disagree_d    0.822229    0.276546    2.973212    0.002947
gamma_hhveh_fuel_d              -1.226948    0.255870   -4.795205   1.625e-06
gamma_veh_range_d               -0.325257    0.086489   -3.760684  1.6945e-04
gamma_suv_d                     -0.520181    0.191754   -2.712751    0.006673
delta_e                          1.378544    0.468863    2.940184    0.003280
gamma_EV_rangeanxiety_e         -0.118297    0.254926   -0.464043    0.642617
gamma_risktaker_e                0.042350    0.199115    0.212692    0.831567
gamma_hhincome_e              -1.9433e-04    0.015606   -0.012452    0.990065
gamma_ev_charge_e                0.305447    0.184782    1.653018    0.098327
gamma_knowledge_ev_e             0.284333    0.192365    1.478093    0.139383
gamma_evb_environment_agree_e    0.828557    0.180464    4.591251   4.406e-06
gamma_evb_function_disagree_e    0.744889    0.275577    2.703019    0.006871
gamma_hhveh_fuel_e              -0.595860    0.263196   -2.263945    0.023577
gamma_veh_range_e               -0.112915    0.085723   -1.317214    0.187767
gamma_suv_e                     -0.531357    0.185822   -2.859489    0.004243
delta_f                          1.280140    0.515104    2.485207    0.012948
gamma_EV_rangeanxiety_f         -0.513258    0.268923   -1.908568    0.056318
gamma_risktaker_f                0.001250    0.228994    0.005458    0.995645
gamma_hhincome_f                -0.048073    0.020014   -2.401955    0.016308
gamma_ev_charge_f                0.422823    0.211159    2.002390    0.045243
gamma_knowledge_ev_f             0.009081    0.213632    0.042506    0.966096
gamma_evb_environment_agree_f    1.186156    0.204393    5.803306   6.502e-09
gamma_evb_function_disagree_f    1.169105    0.285830    4.090216   4.310e-05
gamma_hhveh_fuel_f              -0.014753    0.318214   -0.046361    0.963023
gamma_veh_range_f               -0.185635    0.094134   -1.972028    0.048606
gamma_suv_f                     -0.735751    0.207938   -3.538321  4.0268e-04
                                 Rob.s.e. Rob.t.rat.(0)  p(2-sided)
b_no_choice_a                    1.343924     -1.917742    0.055144
b_mileage_a                      0.247693     -1.904847    0.056800
b_range_pw1_a                    1.325789      0.086249    0.931268
b_range_pw2_a                    1.382567      1.362818    0.172940
b_range_pw3_a                    0.609655      2.209762    0.027122
b_loss_pw1_a                     0.071541     -3.315627  9.1438e-04
b_loss_pw2_a                     0.062957     -0.696144    0.486338
b_loss_pw3_a                     0.087338      0.395519    0.692460
b_packreplace_a                  0.431087     -2.162102    0.030610
b_cellreplace_a                  0.417133     -2.574335    0.010043
b_price_a                        0.651503     -2.252217    0.024309
b_no_choice_b                    0.812943    -12.078946    0.000000
b_mileage_b                      0.040721     -7.372368   1.676e-13
b_range_pw1_b                    0.281037      1.665730    0.095767
b_range_pw2_b                    0.244577      1.930005    0.053606
b_range_pw3_b                    0.189294      2.876914    0.004016
b_loss_pw1_b                     0.028566     -8.275402   2.220e-16
b_loss_pw2_b                     0.018977    -12.573530    0.000000
b_loss_pw3_b                     0.030450     -7.215771   5.362e-13
b_packreplace_b                  0.125691     -2.235646    0.025375
b_cellreplace_b                  0.127351     -3.021772    0.002513
b_price_b                        0.117716     -8.705444    0.000000
b_no_choice_c                    0.749632     -2.624847    0.008669
b_mileage_c                      0.057540     -5.387181   7.157e-08
b_range_pw1_c                    0.417214     13.762263    0.000000
b_range_pw2_c                    0.470816      6.561210   5.337e-11
b_range_pw3_c                    0.733124      5.155435   2.530e-07
b_loss_pw1_c                     0.024368     -5.303750   1.134e-07
b_loss_pw2_c                     0.015995     -6.363353   1.974e-10
b_loss_pw3_c                     0.018968     -3.663247  2.4904e-04
b_packreplace_c                  0.158819     -0.503571    0.614563
b_cellreplace_c                  0.144824     -0.685581    0.492977
b_price_c                        0.287324     -5.163804   2.420e-07
b_no_choice_d                    0.456693     -7.643499   2.109e-14
b_mileage_d                      0.029976     -4.780894   1.745e-06
b_range_pw1_d                    0.224690      0.788636    0.430325
b_range_pw2_d                    0.176307     -0.822023    0.411064
b_range_pw3_d                    0.115741      1.711503    0.086988
b_loss_pw1_d                     0.014760      0.254319    0.799249
b_loss_pw2_d                     0.009645     -1.882969    0.059705
b_loss_pw3_d                     0.010115     -1.969339    0.048914
b_packreplace_d                  0.104958     -3.655467  2.5671e-04
b_cellreplace_d                  0.102483     -4.583468   4.573e-06
b_price_d                        0.053517     -2.690789    0.007128
b_no_choice_e                    0.387408     -6.487457   8.730e-11
b_mileage_e                      0.031212     -7.042375   1.890e-12
b_range_pw1_e                    0.364914      3.909104   9.264e-05
b_range_pw2_e                    0.220431      5.170400   2.336e-07
b_range_pw3_e                    0.165785      6.908792   4.888e-12
b_loss_pw1_e                     0.016504     -5.664028   1.479e-08
b_loss_pw2_e                     0.013303     -6.845136   7.640e-12
b_loss_pw3_e                     0.019457     -2.439881    0.014692
b_packreplace_e                  0.106158     -6.543337   6.016e-11
b_cellreplace_e                  0.110341     -6.631509   3.323e-11
b_price_e                        0.099865    -12.072270    0.000000
b_no_choice_f                    1.660809     -8.337258    0.000000
b_mileage_f                      0.055142     -4.153230   3.278e-05
b_range_pw1_f                    0.399491      2.822538    0.004765
b_range_pw2_f                    0.356860      1.981856    0.047495
b_range_pw3_f                    0.507166      1.566301    0.117278
b_loss_pw1_f                     0.029656     -2.832600    0.004617
b_loss_pw2_f                     0.020273     -3.394855  6.8665e-04
b_loss_pw3_f                     0.020421     -3.305090  9.4946e-04
b_packreplace_f                  0.165921      0.247089    0.804839
b_cellreplace_f                  0.164825      0.664125    0.506610
b_price_f                        0.362983    -11.065454    0.000000
delta_a                                NA            NA          NA
gamma_EV_rangeanxiety_a                NA            NA          NA
gamma_risktaker_a                      NA            NA          NA
gamma_hhincome_a                       NA            NA          NA
gamma_ev_charge_a                      NA            NA          NA
gamma_knowledge_ev_a                   NA            NA          NA
gamma_evb_environment_agree_a          NA            NA          NA
gamma_evb_function_disagree_a          NA            NA          NA
gamma_hhveh_fuel_a                     NA            NA          NA
gamma_veh_range_a                      NA            NA          NA
gamma_suv_a                            NA            NA          NA
delta_b                          0.500369      1.732134    0.083250
gamma_EV_rangeanxiety_b          0.257104     -0.082628    0.934147
gamma_risktaker_b                0.199853      3.463429  5.3334e-04
gamma_hhincome_b                 0.016303      0.662828    0.507441
gamma_ev_charge_b                0.191141      2.043737    0.040980
gamma_knowledge_ev_b             0.194420      0.749053    0.453825
gamma_evb_environment_agree_b    0.189346      6.383439   1.732e-10
gamma_evb_function_disagree_b    0.277691      3.553418  3.8026e-04
gamma_hhveh_fuel_b               0.267688     -2.348775    0.018835
gamma_veh_range_b                0.090948     -1.906461    0.056590
gamma_suv_b                      0.191063     -1.060580    0.288881
delta_c                          0.552415     -0.492421    0.622422
gamma_EV_rangeanxiety_c          0.272277     -0.481368    0.630255
gamma_risktaker_c                0.214129      1.809105    0.070435
gamma_hhincome_c                 0.017822      1.174283    0.240282
gamma_ev_charge_c                0.205431      3.950793   7.789e-05
gamma_knowledge_ev_c             0.225282      1.360587    0.173644
gamma_evb_environment_agree_c    0.211054      6.134157   8.561e-10
gamma_evb_function_disagree_c    0.283929      5.447173   5.118e-08
gamma_hhveh_fuel_c               0.279326     -2.117684    0.034202
gamma_veh_range_c                0.097854      0.774652    0.438545
gamma_suv_c                      0.272624     -3.609558  3.0672e-04
delta_d                          0.493270      5.354550   8.577e-08
gamma_EV_rangeanxiety_d          0.251412     -2.917936    0.003524
gamma_risktaker_d                0.203865      4.382216   1.175e-05
gamma_hhincome_d                 0.017264      0.169641    0.865293
gamma_ev_charge_d                0.196693      2.667308    0.007646
gamma_knowledge_ev_d             0.202215     -0.907274    0.364262
gamma_evb_environment_agree_d    0.195887      4.123550   3.731e-05
gamma_evb_function_disagree_d    0.287685      2.858088    0.004262
gamma_hhveh_fuel_d               0.260622     -4.707761   2.505e-06
gamma_veh_range_d                0.093970     -3.461286  5.3760e-04
gamma_suv_d                      0.197632     -2.632060    0.008487
delta_e                          0.538547      2.559748    0.010475
gamma_EV_rangeanxiety_e          0.269004     -0.439759    0.660112
gamma_risktaker_e                0.207259      0.204334    0.838092
gamma_hhincome_e                 0.017639     -0.011017    0.991210
gamma_ev_charge_e                0.194903      1.567171    0.117075
gamma_knowledge_ev_e             0.197078      1.442743    0.149093
gamma_evb_environment_agree_e    0.190687      4.345117   1.392e-05
gamma_evb_function_disagree_e    0.290416      2.564903    0.010320
gamma_hhveh_fuel_e               0.268320     -2.220709    0.026371
gamma_veh_range_e                0.095920     -1.177177    0.239125
gamma_suv_e                      0.191151     -2.779777    0.005440
delta_f                          0.576722      2.219682    0.026440
gamma_EV_rangeanxiety_f          0.283317     -1.811602    0.070048
gamma_risktaker_f                0.242267      0.005159    0.995884
gamma_hhincome_f                 0.022340     -2.151936    0.031402
gamma_ev_charge_f                0.223114      1.895097    0.058080
gamma_knowledge_ev_f             0.222943      0.040730    0.967511
gamma_evb_environment_agree_f    0.217141      5.462609   4.692e-08
gamma_evb_function_disagree_f    0.302659      3.862777  1.1211e-04
gamma_hhveh_fuel_f               0.332075     -0.044426    0.964565
gamma_veh_range_f                0.100859     -1.840547    0.065688
gamma_suv_f                      0.221765     -3.317713  9.0758e-04


Summary of class allocation for model component :
         Mean prob.
Class_1     0.08655
Class_2     0.22678
Class_3     0.16617
Class_4     0.18470
Class_5     0.20784
Class_6     0.12795


Overview of choices for MNL model component Class_1:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_2:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_3:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_4:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_5:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Overview of choices for MNL model component Class_6:
                                     alt1    alt2     alt3 no_choice
Times available                  17496.00 17496.0 17496.00  17496.00
Times chosen                      4588.00  4952.0  4714.00   3242.00
Percentage chosen overall           26.22    28.3    26.94     18.53
Percentage chosen when available    26.22    28.3    26.94     18.53



Classical covariance matrix:
                                              b_no_choice_a
b_no_choice_a                                      1.549264
b_mileage_a                                        0.069585
b_range_pw1_a                                      0.862687
b_range_pw2_a                                     -0.449468
b_range_pw3_a                                     -0.080251
b_loss_pw1_a                                       0.029175
b_loss_pw2_a                                      -0.014969
b_loss_pw3_a                                       0.010083
b_packreplace_a                                    0.001855
b_cellreplace_a                                    0.074581
b_price_a                                          0.139663
b_no_choice_b                                     -0.010060
b_mileage_b                                     -1.3506e-04
b_range_pw1_b                                    6.0856e-04
b_range_pw2_b                                     -0.001557
b_range_pw3_b                                     -0.001036
b_loss_pw1_b                                    -2.2682e-04
b_loss_pw2_b                                    -2.0500e-04
b_loss_pw3_b                                     -8.121e-05
b_packreplace_b                                  2.2645e-04
b_cellreplace_b                                  2.2941e-04
b_price_b                                        2.3513e-04
b_no_choice_c                                      0.004479
b_mileage_c                                      -3.118e-05
b_range_pw1_c                                      0.003698
b_range_pw2_c                                    2.8040e-04
b_range_pw3_c                                     -0.002015
b_loss_pw1_c                                      2.845e-05
b_loss_pw2_c                                     -4.720e-05
b_loss_pw3_c                                     -1.298e-05
b_packreplace_c                                  1.2152e-04
b_cellreplace_c                                  1.4584e-04
b_price_c                                          0.001203
b_no_choice_d                                    1.7059e-04
b_mileage_d                                       3.200e-05
b_range_pw1_d                                    7.6145e-04
b_range_pw2_d                                     -0.001322
b_range_pw3_d                                   -4.8421e-04
b_loss_pw1_d                                      3.570e-05
b_loss_pw2_d                                     -2.185e-05
b_loss_pw3_d                                      3.105e-05
b_packreplace_d                                 -1.0034e-04
b_cellreplace_d                                   8.955e-05
b_price_d                                        -5.267e-05
b_no_choice_e                                     -0.020288
b_mileage_e                                     -3.4299e-04
b_range_pw1_e                                     -0.012708
b_range_pw2_e                                      0.016881
b_range_pw3_e                                      0.002460
b_loss_pw1_e                                     -7.162e-05
b_loss_pw2_e                                     -7.565e-05
b_loss_pw3_e                                    -3.8780e-04
b_packreplace_e                                    0.001366
b_cellreplace_e                                   -0.001385
b_price_e                                         -0.001510
b_no_choice_f                                     -0.002015
b_mileage_f                                       5.991e-05
b_range_pw1_f                                    3.2733e-04
b_range_pw2_f                                    3.4511e-04
b_range_pw3_f                                     -0.002789
b_loss_pw1_f                                     -1.123e-05
b_loss_pw2_f                                     -1.395e-06
b_loss_pw3_f                                     -3.099e-05
b_packreplace_f                                  -4.221e-06
b_cellreplace_f                                  1.9855e-04
b_price_f                                       -2.7635e-04
delta_b                                            0.012445
gamma_EV_rangeanxiety_b                           -0.003176
gamma_risktaker_b                                4.3151e-04
gamma_hhincome_b                                -3.0719e-04
gamma_ev_charge_b                                 -0.002200
gamma_knowledge_ev_b                               0.002369
gamma_evb_environment_agree_b                      0.002321
gamma_evb_function_disagree_b                    7.0698e-04
gamma_hhveh_fuel_b                                -0.007732
gamma_veh_range_b                               -6.6709e-04
gamma_suv_b                                       -0.009489
delta_c                                            0.013112
gamma_EV_rangeanxiety_c                           -0.003531
gamma_risktaker_c                                2.0207e-04
gamma_hhincome_c                                -3.2149e-04
gamma_ev_charge_c                                 -0.002103
gamma_knowledge_ev_c                               0.002463
gamma_evb_environment_agree_c                      0.002355
gamma_evb_function_disagree_c                    7.2711e-04
gamma_hhveh_fuel_c                                -0.007789
gamma_veh_range_c                               -4.3390e-04
gamma_suv_c                                       -0.008643
delta_d                                            0.013549
gamma_EV_rangeanxiety_d                           -0.003548
gamma_risktaker_d                                3.9446e-04
gamma_hhincome_d                                -3.0909e-04
gamma_ev_charge_d                                 -0.002130
gamma_knowledge_ev_d                               0.002342
gamma_evb_environment_agree_d                      0.001986
gamma_evb_function_disagree_d                    7.6788e-04
gamma_hhveh_fuel_d                                -0.007776
gamma_veh_range_d                               -5.5877e-04
gamma_suv_d                                       -0.008972
delta_e                                            0.016796
gamma_EV_rangeanxiety_e                           -0.004810
gamma_risktaker_e                                8.8996e-04
gamma_hhincome_e                                -4.2015e-04
gamma_ev_charge_e                                 -0.002232
gamma_knowledge_ev_e                               0.005474
gamma_evb_environment_agree_e                      0.005152
gamma_evb_function_disagree_e                      0.001815
gamma_hhveh_fuel_e                                -0.011579
gamma_veh_range_e                               -7.4394e-04
gamma_suv_e                                       -0.012481
delta_f                                            0.013288
gamma_EV_rangeanxiety_f                           -0.003269
gamma_risktaker_f                                4.8453e-04
gamma_hhincome_f                                -2.9983e-04
gamma_ev_charge_f                                 -0.001987
gamma_knowledge_ev_f                               0.002753
gamma_evb_environment_agree_f                      0.002023
gamma_evb_function_disagree_f                    8.9022e-04
gamma_hhveh_fuel_f                                -0.008058
gamma_veh_range_f                               -4.7213e-04
gamma_suv_f                                       -0.009477
                                                b_mileage_a
b_no_choice_a                                      0.069585
b_mileage_a                                        0.026966
b_range_pw1_a                                     -0.003711
b_range_pw2_a                                     -0.002750
b_range_pw3_a                                      0.005472
b_loss_pw1_a                                       0.002018
b_loss_pw2_a                                    -1.0323e-04
b_loss_pw3_a                                       0.001400
b_packreplace_a                                    0.005227
b_cellreplace_a                                    0.002963
b_price_a                                         -0.011781
b_no_choice_b                                     -0.003848
b_mileage_b                                       1.411e-05
b_range_pw1_b                                    -5.504e-05
b_range_pw2_b                                    2.0427e-04
b_range_pw3_b                                   -3.6417e-04
b_loss_pw1_b                                     -7.867e-05
b_loss_pw2_b                                     -7.749e-05
b_loss_pw3_b                                     -3.268e-05
b_packreplace_b                                  1.6634e-04
b_cellreplace_b                                   6.472e-05
b_price_b                                        1.6069e-04
b_no_choice_c                                     -0.001620
b_mileage_c                                      -6.916e-05
b_range_pw1_c                                      0.001273
b_range_pw2_c                                    5.8777e-04
b_range_pw3_c                                   -3.6112e-04
b_loss_pw1_c                                      1.924e-06
b_loss_pw2_c                                      1.176e-05
b_loss_pw3_c                                     -1.738e-05
b_packreplace_c                                  2.0741e-04
b_cellreplace_c                                   9.003e-05
b_price_c                                        1.3222e-04
b_no_choice_d                                    4.7893e-04
b_mileage_d                                       4.767e-05
b_range_pw1_d                                   -3.6277e-04
b_range_pw2_d                                    2.3890e-04
b_range_pw3_d                                    -2.192e-05
b_loss_pw1_d                                      5.485e-06
b_loss_pw2_d                                      4.122e-06
b_loss_pw3_d                                      1.032e-05
b_packreplace_d                                   8.064e-05
b_cellreplace_d                                   7.859e-05
b_price_d                                         6.432e-05
