Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : removebadcase_piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-18 18:26:05.851314
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.306197
     reciprocal of condition number         : 3.95093e-06
Number of individuals                       : 2691
Number of rows in database                  : 16146
Number of modelled outcomes                 : 16146

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -14956.65
LL (whole model) at equal shares, LL(0)     : -22383.11
LL (whole model) at observed shares, LL(C)  : -22214.38
LL(final, whole model)                      : -14941.62
Rho-squared vs equal shares                  :  0.3325 
Adj.Rho-squared vs equal shares              :  0.3271 
Rho-squared vs observed shares               :  0.3274 
Adj.Rho-squared vs observed shares           :  0.3228 
AIC                                         :  30125.25 
BIC                                         :  31055.67 

LL(0,Class_1)                    : -22383.11
LL(final,Class_1)                : -60580.77
LL(0,Class_2)                    : -22383.11
LL(final,Class_2)                : -28420.93
LL(0,Class_3)                    : -22383.11
LL(final,Class_3)                : -32352.56
LL(0,Class_4)                    : -22383.11
LL(final,Class_4)                : -24853.58
LL(0,Class_5)                    : -22383.11
LL(final,Class_5)                : -20971.12
LL(0,Class_6)                    : -22383.11
LL(final,Class_6)                : -33829.76

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:09:42.4 
     pre-estimation                         :  00:00:15.59 
     estimation                             :  00:00:11.83 
     post-estimation                        :  00:09:14.97 
Iterations                                  :  14  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)    Rob.s.e.
b_range_pw2_c                    2.993913     0.37655     7.95087   1.776e-15     0.49434
b_range_pw3_c                    3.924364     0.48864     8.03115   8.882e-16     0.76896
b_loss_pw1_c                    -0.126766     0.02507    -5.05672   4.265e-07     0.02562
b_loss_pw2_c                    -0.102008     0.01609    -6.33948   2.305e-10     0.01599
b_loss_pw3_c                    -0.071742     0.01993    -3.59887  3.1960e-04     0.01888
b_packreplace_c                 -0.053342     0.12806    -0.41655    0.677011     0.16625
b_cellreplace_c                 -0.091222     0.12353    -0.73849    0.460217     0.15024
b_price_c                       -1.515612     0.16788    -9.02788    0.000000     0.33703
b_no_choice_d                   -4.094460     0.44956    -9.10763    0.000000     0.60878
b_mileage_d                     -0.159189     0.02558    -6.22220   4.902e-10     0.03502
b_range_pw1_d                    0.141048     0.23377     0.60337    0.546265     0.31414
b_range_pw2_d                   -0.189103     0.17763    -1.06457    0.287072     0.20215
b_range_pw3_d                    0.241093     0.11524     2.09209    0.036430     0.13651
b_loss_pw1_d                     0.002851     0.01649     0.17286    0.862761     0.01690
b_loss_pw2_d                    -0.022432     0.01055    -2.12612    0.033493     0.01153
b_loss_pw3_d                    -0.020673     0.01228    -1.68316    0.092344     0.01221
b_packreplace_d                 -0.446539     0.08557    -5.21837   1.805e-07     0.13868
b_cellreplace_d                 -0.535959     0.08604    -6.22888   4.698e-10     0.13473
b_price_d                       -0.204257     0.05360    -3.81063  1.3861e-04     0.06671
b_no_choice_e                   -2.709641     0.30319    -8.93721    0.000000     0.39548
b_mileage_e                     -0.218224     0.02642    -8.25943   2.220e-16     0.03161
b_range_pw1_e                    1.234003     0.21782     5.66520   1.469e-08     0.35392
b_range_pw2_e                    1.081174     0.18506     5.84240   5.145e-09     0.22476
b_range_pw3_e                    1.108386     0.12069     9.18349    0.000000     0.16698
b_loss_pw1_e                    -0.094004     0.01532    -6.13519   8.506e-10     0.01684
b_loss_pw2_e                    -0.093601     0.01136    -8.24116   2.220e-16     0.01321
b_loss_pw3_e                    -0.052059     0.01719    -3.02847    0.002458     0.01968
b_packreplace_e                 -0.636000     0.08249    -7.71038   1.243e-14     0.10620
b_cellreplace_e                 -0.720302     0.08479    -8.49497    0.000000     0.11104
b_price_e                       -1.176549     0.06819   -17.25520    0.000000     0.09815
b_no_choice_f                  -13.632278     1.10312   -12.35796    0.000000     1.75708
b_mileage_f                     -0.252158     0.04425    -5.69848   1.209e-08     0.05714
b_range_pw1_f                    1.396869     0.32997     4.23328   2.303e-05     0.53286
b_range_pw2_f                    0.683606     0.32959     2.07414    0.038066     0.38907
b_range_pw3_f                    0.907714     0.36079     2.51593    0.011872     0.56541
b_loss_pw1_f                    -0.093212     0.02825    -3.29981  9.6750e-04     0.02975
b_loss_pw2_f                    -0.075881     0.01783    -4.25621   2.079e-05     0.02262
b_loss_pw3_f                    -0.064373     0.02013    -3.19737    0.001387     0.02105
b_packreplace_f                  0.120939     0.13867     0.87210    0.383153     0.18486
b_cellreplace_f                  0.102612     0.13570     0.75615    0.449560     0.17913
b_price_f                       -3.994891     0.27209   -14.68236    0.000000     0.36904
delta_a                          0.000000          NA          NA          NA          NA
gamma_EV_rangeanxiety_a          0.000000          NA          NA          NA          NA
gamma_risktaker_a                0.000000          NA          NA          NA          NA
gamma_hhincome_a                 0.000000          NA          NA          NA          NA
gamma_ev_charge_a                0.000000          NA          NA          NA          NA
gamma_knowledge_ev_a             0.000000          NA          NA          NA          NA
gamma_evb_environment_agree_a    0.000000          NA          NA          NA          NA
gamma_evb_function_disagree_a    0.000000          NA          NA          NA          NA
gamma_hhveh_fuel_a               0.000000          NA          NA          NA          NA
gamma_veh_range_a                0.000000          NA          NA          NA          NA
gamma_suv_a                      0.000000          NA          NA          NA          NA
delta_b                          0.771619     0.47367     1.62901    0.103311     0.52292
gamma_EV_rangeanxiety_b          0.040542     0.26170     0.15492    0.876886     0.27192
gamma_risktaker_b                0.725456     0.19580     3.70505  2.1135e-04     0.20620
gamma_hhincome_b                 0.013374     0.01565     0.85482    0.392649     0.01659
gamma_ev_charge_b                0.416784     0.18573     2.24398    0.024833     0.19364
gamma_knowledge_ev_b             0.115798     0.19426     0.59609    0.551115     0.19965
gamma_evb_environment_agree_b    1.205928     0.18288     6.59414   4.277e-11     0.19528
gamma_evb_function_disagree_b    1.048314     0.27480     3.81478  1.3631e-04     0.28499
gamma_hhveh_fuel_b              -0.715837     0.26470    -2.70437    0.006843     0.27632
gamma_veh_range_b               -0.170779     0.08536    -2.00068    0.045427     0.09428
gamma_suv_b                     -0.124087     0.18768    -0.66117    0.508505     0.19347
delta_c                         -0.318843     0.52871    -0.60306    0.546467     0.57513
gamma_EV_rangeanxiety_c         -0.151508     0.27451    -0.55193    0.580997     0.28743
gamma_risktaker_c                0.464345     0.21309     2.17910    0.029325     0.21903
gamma_hhincome_c                 0.024499     0.01685     1.45412    0.145913     0.01819
gamma_ev_charge_c                0.754229     0.20139     3.74509  1.8033e-04     0.20735
gamma_knowledge_ev_c             0.254542     0.22272     1.14290    0.253082     0.22893
gamma_evb_environment_agree_c    1.278700     0.20196     6.33150   2.428e-10     0.21594
gamma_evb_function_disagree_c    1.590077     0.27848     5.70979   1.131e-08     0.29158
gamma_hhveh_fuel_c              -0.623365     0.27915    -2.23306    0.025545     0.28972
gamma_veh_range_c                0.109104     0.09590     1.13770    0.255247     0.10113
gamma_suv_c                     -1.009486     0.22470    -4.49254   7.038e-06     0.27615
delta_d                          1.922135     0.47949     4.00869   6.106e-05     0.52952
gamma_EV_rangeanxiety_d         -0.603128     0.25890    -2.32960    0.019827     0.27306
gamma_risktaker_d                1.118161     0.20765     5.38471   7.256e-08     0.21528
gamma_hhincome_d                 0.011166     0.01705     0.65498    0.512483     0.01824
gamma_ev_charge_d                0.455696     0.20206     2.25523    0.024119     0.20688
gamma_knowledge_ev_d            -0.185617     0.21010    -0.88345    0.376991     0.21822
gamma_evb_environment_agree_d    0.846900     0.19711     4.29660   1.734e-05     0.20926
gamma_evb_function_disagree_d    0.873134     0.28953     3.01567    0.002564     0.30219
gamma_hhveh_fuel_d              -1.009685     0.27186    -3.71404  2.0397e-04     0.27781
gamma_veh_range_d               -0.308232     0.09184    -3.35612  7.9044e-04     0.10237
gamma_suv_d                     -0.365577     0.20220    -1.80799    0.070607     0.21209
delta_e                          1.311171     0.48175     2.72168    0.006495     0.55848
gamma_EV_rangeanxiety_e         -0.068592     0.26415    -0.25967    0.795121     0.28750
gamma_risktaker_e                0.100641     0.20276     0.49636    0.619643     0.21009
gamma_hhincome_e                -0.001094     0.01591    -0.06879    0.945160     0.01775
gamma_ev_charge_e                0.335484     0.18630     1.80077    0.071740     0.19522
gamma_knowledge_ev_e             0.288195     0.19562     1.47322    0.140691     0.20146
gamma_evb_environment_agree_e    0.817847     0.18270     4.47639   7.592e-06     0.19512
gamma_evb_function_disagree_e    0.769639     0.28062     2.74264    0.006095     0.29593
gamma_hhveh_fuel_e              -0.623033     0.26858    -2.31973    0.020356     0.27380
gamma_veh_range_e               -0.133091     0.08695    -1.53060    0.125868     0.09861
gamma_suv_e                     -0.419233     0.18664    -2.24626    0.024687     0.19519
delta_f                          1.325618     0.52777     2.51175    0.012013     0.60385
gamma_EV_rangeanxiety_f         -0.603616     0.27544    -2.19147    0.028418     0.29599
gamma_risktaker_f               -0.008588     0.23859    -0.03599    0.971287     0.25631
gamma_hhincome_f                -0.049030     0.02081    -2.35654    0.018446     0.02338
gamma_ev_charge_f                0.439521     0.21442     2.04983    0.040381     0.22560
gamma_knowledge_ev_f             0.074344     0.22052     0.33712    0.736024     0.23195
gamma_evb_environment_agree_f    1.185034     0.20845     5.68499   1.308e-08     0.22274
gamma_evb_function_disagree_f    1.170077     0.29337     3.98837   6.653e-05     0.31390
gamma_hhveh_fuel_f              -0.069394     0.32283    -0.21495    0.829803     0.33571
gamma_veh_range_f               -0.187427     0.09637    -1.94484    0.051795     0.10527
gamma_suv_f                     -0.681118     0.21114    -3.22584    0.001256     0.22753
                              Rob.t.rat.(0)  p(2-sided)
b_no_choice_a                      -1.76538    0.077500
b_mileage_a                        -1.76163    0.078132
b_range_pw1_a                      -0.12228    0.902678
b_range_pw2_a                       1.42184    0.155073
b_range_pw3_a                       1.70210    0.088736
b_loss_pw1_a                       -3.08096    0.002063
b_loss_pw2_a                       -0.50858    0.611047
b_loss_pw3_a                        0.11694    0.906906
b_packreplace_a                    -2.57335    0.010072
b_cellreplace_a                    -2.14367    0.032059
b_price_a                          -2.18475    0.028907
b_no_choice_b                     -10.76482    0.000000
b_mileage_b                        -7.08172   1.424e-12
b_range_pw1_b                       1.28401    0.199138
b_range_pw2_b                       1.83624    0.066322
b_range_pw3_b                       3.06742    0.002159
b_loss_pw1_b                       -7.84103   4.441e-15
b_loss_pw2_b                      -12.09229    0.000000
b_loss_pw3_b                       -6.98981   2.753e-12
b_packreplace_b                    -2.41180    0.015874
b_cellreplace_b                    -2.84028    0.004507
b_price_b                          -7.71974   1.155e-14
b_no_choice_c                      -2.10872    0.034969
b_mileage_c                        -4.93099   8.181e-07
b_range_pw1_c                      14.01763    0.000000
b_range_pw2_c                       6.05633   1.393e-09
b_range_pw3_c                       5.10346   3.335e-07
b_loss_pw1_c                       -4.94840   7.483e-07
b_loss_pw2_c                       -6.37951   1.777e-10
b_loss_pw3_c                       -3.80080  1.4423e-04
b_packreplace_c                    -0.32086    0.748319
b_cellreplace_c                    -0.60717    0.543737
b_price_c                          -4.49700   6.892e-06
b_no_choice_d                      -6.72571   1.747e-11
b_mileage_d                        -4.54531   5.486e-06
b_range_pw1_d                       0.44900    0.653430
b_range_pw2_d                      -0.93548    0.349543
b_range_pw3_d                       1.76606    0.077386
b_loss_pw1_d                        0.16872    0.866019
b_loss_pw2_d                       -1.94636    0.051611
b_loss_pw3_d                       -1.69334    0.090391
b_packreplace_d                    -3.22002    0.001282
b_cellreplace_d                    -3.97798   6.950e-05
b_price_d                          -3.06195    0.002199
b_no_choice_e                      -6.85150   7.308e-12
b_mileage_e                        -6.90262   5.105e-12
b_range_pw1_e                       3.48669  4.8903e-04
b_range_pw2_e                       4.81037   1.507e-06
b_range_pw3_e                       6.63799   3.180e-11
b_loss_pw1_e                       -5.58157   2.384e-08
b_loss_pw2_e                       -7.08309   1.410e-12
b_loss_pw3_e                       -2.64537    0.008160
b_packreplace_e                    -5.98867   2.116e-09
b_cellreplace_e                    -6.48692   8.761e-11
b_price_e                         -11.98724    0.000000
b_no_choice_f                      -7.75849   8.660e-15
b_mileage_f                        -4.41261   1.021e-05
b_range_pw1_f                       2.62143    0.008756
b_range_pw2_f                       1.75700    0.078917
b_range_pw3_f                       1.60541    0.108403
b_loss_pw1_f                       -3.13294    0.001731
b_loss_pw2_f                       -3.35455  7.9494e-04
b_loss_pw3_f                       -3.05806    0.002228
b_packreplace_f                     0.65422    0.512967
b_cellreplace_f                     0.57283    0.566760
b_price_f                         -10.82506    0.000000
delta_a                                  NA          NA
gamma_EV_rangeanxiety_a                  NA          NA
gamma_risktaker_a                        NA          NA
gamma_hhincome_a                         NA          NA
gamma_ev_charge_a                        NA          NA
gamma_knowledge_ev_a                     NA          NA
gamma_evb_environment_agree_a            NA          NA
gamma_evb_function_disagree_a            NA          NA
gamma_hhveh_fuel_a                       NA          NA
gamma_veh_range_a                        NA          NA
gamma_suv_a                              NA          NA
delta_b                             1.47561    0.140049
gamma_EV_rangeanxiety_b             0.14910    0.881478
gamma_risktaker_b                   3.51815  4.3456e-04
gamma_hhincome_b                    0.80637    0.420032
gamma_ev_charge_b                   2.15240    0.031366
gamma_knowledge_ev_b                0.58000    0.561914
gamma_evb_environment_agree_b       6.17528   6.605e-10
gamma_evb_function_disagree_b       3.67847  2.3463e-04
gamma_hhveh_fuel_b                 -2.59061    0.009581
gamma_veh_range_b                  -1.81136    0.070085
gamma_suv_b                        -0.64139    0.521271
delta_c                            -0.55439    0.579314
gamma_EV_rangeanxiety_c            -0.52712    0.598110
gamma_risktaker_c                   2.12006    0.034001
gamma_hhincome_c                    1.34715    0.177932
gamma_ev_charge_c                   3.63746  2.7535e-04
gamma_knowledge_ev_c                1.11190    0.266183
gamma_evb_environment_agree_c       5.92142   3.192e-09
gamma_evb_function_disagree_c       5.45328   4.945e-08
gamma_hhveh_fuel_c                 -2.15164    0.031426
gamma_veh_range_c                   1.07882    0.280667
gamma_suv_c                        -3.65560  2.5658e-04
delta_d                             3.62993  2.8350e-04
gamma_EV_rangeanxiety_d            -2.20878    0.027190
gamma_risktaker_d                   5.19408   2.057e-07
gamma_hhincome_d                    0.61221    0.540400
gamma_ev_charge_d                   2.20269    0.027616
gamma_knowledge_ev_d               -0.85058    0.395005
gamma_evb_environment_agree_d       4.04706   5.186e-05
gamma_evb_function_disagree_d       2.88932    0.003861
gamma_hhveh_fuel_d                 -3.63446  2.7856e-04
gamma_veh_range_d                  -3.01083    0.002605
gamma_suv_d                        -1.72371    0.084761
delta_e                             2.34777    0.018886
gamma_EV_rangeanxiety_e            -0.23858    0.811433
gamma_risktaker_e                   0.47905    0.631905
gamma_hhincome_e                   -0.06164    0.950852
gamma_ev_charge_e                   1.71846    0.085713
gamma_knowledge_ev_e                1.43052    0.152567
gamma_evb_environment_agree_e       4.19143   2.772e-05
gamma_evb_function_disagree_e       2.60073    0.009303
gamma_hhveh_fuel_e                 -2.27553    0.022874
gamma_veh_range_e                  -1.34961    0.177140
gamma_suv_e                        -2.14778    0.031732
delta_f                             2.19528    0.028143
gamma_EV_rangeanxiety_f            -2.03933    0.041417
gamma_risktaker_f                  -0.03351    0.973271
gamma_hhincome_f                   -2.09722    0.035974
gamma_ev_charge_f                   1.94822    0.051389
gamma_knowledge_ev_f                0.32052    0.748571
gamma_evb_environment_agree_f       5.32027   1.036e-07
gamma_evb_function_disagree_f       3.72754  1.9336e-04
gamma_hhveh_fuel_f                 -0.20671    0.836237
gamma_veh_range_f                  -1.78046    0.075000
gamma_suv_f                        -2.99353    0.002758


Summary of class allocation for model component :
         Mean prob.
Class_1     0.09070
Class_2     0.23101
Class_3     0.17336
Class_4     0.15925
Class_5     0.21261
Class_6     0.13307


Overview of choices for MNL model component Class_1:
                                    alt1     alt2     alt3 no_choice
Times available                  16146.0 16146.00 16146.00     16146
Times chosen                      4247.0  4510.00  4321.00      3068
Percentage chosen overall           26.3    27.93    26.76        19
Percentage chosen when available    26.3    27.93    26.76        19



Overview of choices for MNL model component Class_2:
                                    alt1     alt2     alt3 no_choice
Times available                  16146.0 16146.00 16146.00     16146
Times chosen                      4247.0  4510.00  4321.00      3068
Percentage chosen overall           26.3    27.93    26.76        19
Percentage chosen when available    26.3    27.93    26.76        19



Overview of choices for MNL model component Class_3:
                                    alt1     alt2     alt3 no_choice
Times available                  16146.0 16146.00 16146.00     16146
Times chosen                      4247.0  4510.00  4321.00      3068
Percentage chosen overall           26.3    27.93    26.76        19
Percentage chosen when available    26.3    27.93    26.76        19



Overview of choices for MNL model component Class_4:
                                    alt1     alt2     alt3 no_choice
Times available                  16146.0 16146.00 16146.00     16146
Times chosen                      4247.0  4510.00  4321.00      3068
Percentage chosen overall           26.3    27.93    26.76        19
Percentage chosen when available    26.3    27.93    26.76        19



Overview of choices for MNL model component Class_5:
                                    alt1     alt2     alt3 no_choice
Times available                  16146.0 16146.00 16146.00     16146
Times chosen                      4247.0  4510.00  4321.00      3068
Percentage chosen overall           26.3    27.93    26.76        19
Percentage chosen when available    26.3    27.93    26.76        19



Overview of choices for MNL model component Class_6:
                                    alt1     alt2     alt3 no_choice
Times available                  16146.0 16146.00 16146.00     16146
Times chosen                      4247.0  4510.00  4321.00      3068
Percentage chosen overall           26.3    27.93    26.76        19
Percentage chosen when available    26.3    27.93    26.76        19



Classical covariance matrix:
                                              b_no_choice_a                   b_mileage_a
b_no_choice_a                                      1.855126                      0.075110
b_mileage_a                                        0.075110                      0.028902
b_range_pw1_a                                      1.050395                     -0.016665
b_range_pw2_a                                     -0.641195                      0.009294
b_range_pw3_a                                     -0.121210                      0.006703
b_loss_pw1_a                                       0.032029                      0.002269
b_loss_pw2_a                                      -0.018278                     3.517e-05
b_loss_pw3_a                                       0.012847                    8.1339e-04
b_packreplace_a                                    0.011322                      0.001535
b_cellreplace_a                                    0.099737                    5.9170e-04
b_price_a                                          0.213087                     -0.009509
b_no_choice_b                                     -0.011531                     -0.003505
b_mileage_b                                     -2.0057e-04                     1.478e-05
b_range_pw1_b                                    3.4055e-04                   -2.0720e-04
b_range_pw2_b                                     -0.001574                    3.3078e-04
b_range_pw3_b                                     -0.001108                   -3.0232e-04
b_loss_pw1_b                                    -2.5145e-04                    -6.642e-05
b_loss_pw2_b                                    -2.0950e-04                    -6.344e-05
b_loss_pw3_b                                     -9.581e-05                    -3.952e-05
b_packreplace_b                                  3.3915e-04                     9.473e-05
b_cellreplace_b                                  4.5765e-04                     5.068e-05
b_price_b                                        3.1573e-04                    1.4045e-04
b_no_choice_c                                      0.002973                     -0.001440
b_mileage_c                                     -2.0122e-04                    -7.528e-05
b_range_pw1_c                                      0.004577                      0.001242
b_range_pw2_c                                    5.7562e-04                    5.4420e-04
b_range_pw3_c                                     -0.002282                   -2.7157e-04
b_loss_pw1_c                                      1.111e-05                    -7.434e-06
b_loss_pw2_c                                     -3.841e-05                     1.865e-05
b_loss_pw3_c                                     -2.639e-05                    -2.749e-05
b_packreplace_c                                   7.313e-05                    1.7702e-04
b_cellreplace_c                                  1.0622e-04                     8.057e-05
b_price_c                                          0.001444                     7.206e-05
b_no_choice_d                                      0.001088                     1.302e-05
b_mileage_d                                      -1.356e-05                     4.561e-05
b_range_pw1_d                                    5.7276e-04                   -4.0228e-04
b_range_pw2_d                                     -0.001280                    2.0080e-04
b_range_pw3_d                                   -6.9494e-04                    -3.894e-05
b_loss_pw1_d                                      5.234e-05                    -2.413e-06
b_loss_pw2_d                                     -2.302e-05                     3.754e-06
b_loss_pw3_d                                      4.060e-05                     5.147e-06
b_packreplace_d                                   1.046e-05                     2.935e-05
b_cellreplace_d                                  1.9943e-04                     5.387e-05
b_price_d                                        1.0167e-04                     4.859e-05
b_no_choice_e                                     -0.015992                     -0.002586
b_mileage_e                                      2.2478e-04                   -5.3555e-04
b_range_pw1_e                                     -0.010976                      0.003677
b_range_pw2_e                                      0.019772                     -0.002257
b_range_pw3_e                                      0.003719                   -5.2748e-04
b_loss_pw1_e                                     1.8773e-04                    -4.121e-05
b_loss_pw2_e                                    -1.3856e-04                   -1.2302e-04
b_loss_pw3_e                                    -4.2045e-04                    -6.403e-05
b_packreplace_e                                  9.4482e-04                    5.3301e-04
b_cellreplace_e                                   -0.002616                    3.3001e-04
b_price_e                                         -0.002286                   -2.8125e-04
b_no_choice_f                                     -0.007385                     -0.003226
b_mileage_f                                      1.2233e-04                     1.936e-05
b_range_pw1_f                                     9.495e-05                   -5.3857e-04
b_range_pw2_f                                    3.9343e-04                    1.9225e-04
b_range_pw3_f                                     -0.004310                   -5.6291e-04
b_loss_pw1_f                                     -3.196e-05                    -1.690e-05
b_loss_pw2_f                                      9.899e-06                     3.556e-06
b_loss_pw3_f                                     -3.496e-05                    -9.828e-06
b_packreplace_f                                  -2.429e-05                    -5.392e-05
b_cellreplace_f                                  2.8776e-04                     8.849e-05
b_price_f                                       -7.8599e-04                   -3.8481e-04
delta_b                                            0.013988                     -0.009827
gamma_EV_rangeanxiety_b                           -0.011679                      0.002721
gamma_risktaker_b                                  0.002184                     5.161e-06
gamma_hhincome_b                                -5.6396e-04                    1.9916e-04
gamma_ev_charge_b                                 -0.003125                     -0.001042
gamma_knowledge_ev_b                               0.002098                    6.5455e-04
gamma_evb_environment_agree_b                      0.002136                     -0.001845
gamma_evb_function_disagree_b                      0.005289                    5.6166e-04
gamma_hhveh_fuel_b                              -5.8078e-04                    3.5687e-04
gamma_veh_range_b                               -5.6448e-04                      0.001030
gamma_suv_b                                       -0.009864                    1.6128e-04
delta_c                                            0.014392                     -0.010500
gamma_EV_rangeanxiety_c                           -0.012258                      0.002790
gamma_risktaker_c                                  0.001992                    -8.775e-05
gamma_hhincome_c                                -5.9742e-04                    2.0644e-04
gamma_ev_charge_c                                 -0.002926                   -7.3131e-04
gamma_knowledge_ev_c                               0.002152                    7.4046e-04
gamma_evb_environment_agree_c                      0.002333                     -0.001819
gamma_evb_function_disagree_c                      0.005430                    5.1260e-04
gamma_hhveh_fuel_c                              -2.4633e-04                    5.2987e-04
gamma_veh_range_c                               -3.3802e-04                      0.001108
gamma_suv_c                                       -0.008602                    6.7824e-04
delta_d                                            0.015179                     -0.009682
gamma_EV_rangeanxiety_d                           -0.011896                      0.002871
gamma_risktaker_d                                  0.002297                   -1.1393e-04
gamma_hhincome_d                                -5.7046e-04                    1.9856e-04
gamma_ev_charge_d                                 -0.003079                   -9.8505e-04
gamma_knowledge_ev_d                               0.002003                    6.0639e-04
gamma_evb_environment_agree_d                      0.001992                     -0.001953
gamma_evb_function_disagree_d                      0.005278                    4.4013e-04
gamma_hhveh_fuel_d                              -7.3958e-04                    5.1390e-04
gamma_veh_range_d                               -5.1543e-04                      0.001072
gamma_suv_d                                       -0.009500                    2.7164e-04
delta_e                                            0.019841                     -0.013173
gamma_EV_rangeanxiety_e                           -0.016758                      0.004218
gamma_risktaker_e                                  0.003710                     4.150e-05
gamma_hhincome_e                                -7.8373e-04                    2.8812e-04
gamma_ev_charge_e                                 -0.003377                   -8.6501e-04
gamma_knowledge_ev_e                               0.005116                      0.001298
gamma_evb_environment_agree_e                      0.005505                     -0.001807
gamma_evb_function_disagree_e                      0.008546                      0.001403
gamma_hhveh_fuel_e                                -0.002373                    2.1458e-04
gamma_veh_range_e                               -6.5414e-04                      0.001534
gamma_suv_e                                       -0.012746                   -2.6715e-04
delta_f                                            0.014749                     -0.009813
gamma_EV_rangeanxiety_f                           -0.011970                      0.002767
gamma_risktaker_f                                  0.002711                    -4.585e-06
gamma_hhincome_f                                -5.4550e-04                    2.0280e-04
gamma_ev_charge_f                                 -0.002862                   -8.9678e-04
gamma_knowledge_ev_f                               0.002465                    6.3390e-04
