Model run by wuxiatian using Apollo 0.3.4 on R 4.4.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-05-28 17:46:22.938038
Estimation method                           : bgw
Model diagnosis                             : Relative function convergence
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.39384
     reciprocal of condition number         : 4.86717e-06
Number of individuals                       : 2916
Number of rows in database                  : 17496
Number of modelled outcomes                 : 17496

Number of cores used                        :  6 
Model without mixing
b_loss_pw3_d                    -0.067494    0.019484
b_packreplace_d                  0.040999    0.130761
b_cellreplace_d                  0.109471    0.128476
b_price_d                       -4.016533    0.269256
b_no_choice_e                   -9.819513    0.612783
b_mileage_e                     -0.300205    0.033770
b_range_pw1_e                    0.468112    0.259582
b_range_pw2_e                    0.472023    0.236829
b_range_pw3_e                    0.544550    0.144643
b_loss_pw1_e                    -0.236397    0.023479
b_loss_pw2_e                    -0.238610    0.016590
b_loss_pw3_e                    -0.219717    0.028954
b_packreplace_e                 -0.281022    0.100838
b_cellreplace_e                 -0.384852    0.101411
b_price_e                       -1.024755    0.084120
b_no_choice_f                   -3.490752    0.357040
b_mileage_f                     -0.143321    0.022235
b_range_pw1_f                    0.177199    0.185877
b_range_pw2_f                   -0.144948    0.154397
b_range_pw3_f                    0.198096    0.102305
b_loss_pw1_f                     0.003755    0.014413
b_loss_pw2_f                    -0.018162    0.009081
b_loss_pw3_f                    -0.019920    0.010548
b_packreplace_f                 -0.383662    0.071386
b_cellreplace_f                 -0.469725    0.072171
b_price_f                       -0.144007    0.046088
delta_a                         -0.866731    0.458258
gamma_EV_rangeanxiety_a          0.021252    0.250823
gamma_risktaker_a               -0.692177    0.190201
gamma_hhincome_a                -0.010806    0.015283
gamma_ev_charge_a               -0.390598    0.182576
gamma_knowledge_ev_a             0.183477    0.197759
gamma_evb_environment_agree_a   -1.208691    0.179253
gamma_evb_function_disagree_a   -0.986779    0.268546
gamma_hhveh_fuel_a               0.628730    0.258450
gamma_veh_range_a                0.173389    0.083200
gamma_suv_a                      0.202637    0.185226
delta_b                          0.511803    0.346783
gamma_EV_rangeanxiety_b         -0.097052    0.192221
gamma_risktaker_b               -0.649835    0.149855
gamma_hhincome_b                -0.011001    0.012350
gamma_ev_charge_b               -0.085188    0.147064
gamma_knowledge_ev_b             0.467816    0.176049
gamma_evb_environment_agree_b   -0.380103    0.142911
gamma_evb_function_disagree_b   -0.241849    0.175899
gamma_hhveh_fuel_b               0.032897    0.175841
gamma_veh_range_b                0.060474    0.066130
gamma_suv_b                     -0.328712    0.147143
delta_c                         -1.138758    0.432302
gamma_EV_rangeanxiety_c         -0.109818    0.221157
gamma_risktaker_c               -0.304815    0.174427
gamma_hhincome_c                 0.010121    0.014208
gamma_ev_charge_c                0.420989    0.175594
gamma_knowledge_ev_c             0.489993    0.206396
gamma_evb_environment_agree_c    0.085977    0.178078
gamma_evb_function_disagree_c    0.559877    0.187384
gamma_hhveh_fuel_c               0.037223    0.206098
gamma_veh_range_c                0.249200    0.079828
gamma_suv_c                     -0.781391    0.209474
delta_d                          0.413356    0.436359
gamma_EV_rangeanxiety_d         -0.492004    0.227577
gamma_risktaker_d               -0.690939    0.197691
gamma_hhincome_d                -0.058876    0.018314
gamma_ev_charge_d                0.032189    0.188369
gamma_knowledge_ev_d             0.192560    0.211216
gamma_evb_environment_agree_d   -0.022485    0.181891
gamma_evb_function_disagree_d    0.182381    0.210349
gamma_hhveh_fuel_d               0.614028    0.261407
gamma_veh_range_d               -0.012246    0.082095
gamma_suv_d                     -0.533121    0.181732
delta_e                          0.000000          NA
gamma_EV_rangeanxiety_e          0.000000          NA
gamma_risktaker_e                0.000000          NA
gamma_hhincome_e                 0.000000          NA
gamma_ev_charge_e                0.000000          NA
gamma_knowledge_ev_e             0.329103    0.176401
gamma_evb_environment_agree_e    0.000000          NA
gamma_evb_function_disagree_e    0.000000          NA
gamma_hhveh_fuel_e               0.000000          NA
gamma_veh_range_e                0.000000          NA
gamma_suv_e                      0.000000          NA
delta_f                          1.774523    0.341102
gamma_EV_rangeanxiety_f         -0.712370    0.184413
gamma_risktaker_f                0.201189    0.156274
gamma_hhincome_f                -0.007878    0.013175
gamma_ev_charge_f                0.134010    0.160172
gamma_knowledge_ev_f             0.000000          NA
gamma_evb_environment_agree_f   -0.400914    0.154510
gamma_evb_function_disagree_f   -0.164514    0.185715
gamma_hhveh_fuel_f              -0.598189    0.175966
gamma_veh_range_f               -0.151867    0.070170
gamma_suv_f                     -0.317533    0.156114
                                t.rat.(0)  p(2-sided)
b_no_choice_a                    -2.07050    0.038406
b_mileage_a                      -2.87334    0.004062
b_range_pw1_a                     0.11127    0.911401
b_range_pw2_a                     1.92084    0.054752
b_range_pw3_a                     2.75884    0.005801
b_loss_pw1_a                     -3.49480  4.7441e-04
b_loss_pw2_a                     -0.68142    0.495606
b_loss_pw3_a                      0.38332    0.701485
b_packreplace_a                  -2.44246    0.014587
b_cellreplace_a                  -2.79833    0.005137
b_price_a                        -3.77300  1.6130e-04
b_no_choice_b                    -8.45181    0.000000
b_mileage_b                      -8.42777    0.000000
b_range_pw1_b                     6.52286   6.898e-11
b_range_pw2_b                     6.25947   3.863e-10
b_range_pw3_b                     9.49976    0.000000
b_loss_pw1_b                     -6.20096   5.612e-10
b_loss_pw2_b                     -8.07886   6.661e-16
b_loss_pw3_b                     -2.81873    0.004821
b_packreplace_b                  -8.48659    0.000000
b_cellreplace_b                  -8.73431    0.000000
b_price_b                       -17.60831    0.000000
b_no_choice_c                    -3.76068  1.6945e-04
b_mileage_c                      -7.24345   4.374e-13
b_range_pw1_c                    15.11510    0.000000
b_range_pw2_c                     8.32127    0.000000
b_range_pw3_c                     8.07404   6.661e-16
b_loss_pw1_c                     -5.28208   1.277e-07
b_loss_pw2_c                     -6.35302   2.111e-10
b_loss_pw3_c                     -3.48930  4.8428e-04
b_packreplace_c                  -0.63991    0.522233
b_cellreplace_c                  -0.82158    0.411316
b_price_c                        -9.58734    0.000000
b_no_choice_d                   -12.90987    0.000000
b_mileage_d                      -5.34204   9.191e-08
b_range_pw1_d                     3.98528   6.740e-05
b_range_pw2_d                     2.24240    0.024936
b_range_pw3_d                     2.29856    0.021530
b_loss_pw1_d                     -3.05208    0.002273
b_loss_pw2_d                     -4.05733   4.964e-05
b_loss_pw3_d                     -3.46409  5.3203e-04
b_packreplace_d                   0.31354    0.753869
b_cellreplace_d                   0.85207    0.394173
b_price_d                       -14.91715    0.000000
b_no_choice_e                   -16.02444    0.000000
b_mileage_e                      -8.88982    0.000000
b_range_pw1_e                     1.80333    0.071337
b_range_pw2_e                     1.99310    0.046251
b_range_pw3_e                     3.76478  1.6669e-04
b_loss_pw1_e                    -10.06846    0.000000
b_loss_pw2_e                    -14.38258    0.000000
b_loss_pw3_e                     -7.58835   3.242e-14
b_packreplace_e                  -2.78686    0.005322
b_cellreplace_e                  -3.79496  1.4767e-04
b_price_e                       -12.18209    0.000000
b_no_choice_f                    -9.77691    0.000000
b_mileage_f                      -6.44586   1.149e-10
b_range_pw1_f                     0.95332    0.340430
b_range_pw2_f                    -0.93880    0.347832
b_range_pw3_f                     1.93633    0.052827
b_loss_pw1_f                      0.26055    0.794437
b_loss_pw2_f                     -1.99995    0.045506
b_loss_pw3_f                     -1.88848    0.058962
b_packreplace_f                  -5.37443   7.682e-08
b_cellreplace_f                  -6.50852   7.590e-11
b_price_f                        -3.12462    0.001780
delta_a                          -1.89136    0.058576
gamma_EV_rangeanxiety_a           0.08473    0.932475
gamma_risktaker_a                -3.63920  2.7349e-04
gamma_hhincome_a                 -0.70706    0.479532
gamma_ev_charge_a                -2.13937    0.032406
gamma_knowledge_ev_a              0.92778    0.353521
gamma_evb_environment_agree_a    -6.74293   1.552e-11
gamma_evb_function_disagree_a    -3.67452  2.3830e-04
gamma_hhveh_fuel_a                2.43269    0.014987
gamma_veh_range_a                 2.08399    0.037161
gamma_suv_a                       1.09400    0.273954
delta_b                           1.47586    0.139982
gamma_EV_rangeanxiety_b          -0.50490    0.613630
gamma_risktaker_b                -4.33643   1.448e-05
gamma_hhincome_b                 -0.89075    0.373064
gamma_ev_charge_b                -0.57926    0.562414
gamma_knowledge_ev_b              2.65730    0.007877
gamma_evb_environment_agree_b    -2.65971    0.007821
gamma_evb_function_disagree_b    -1.37493    0.169152
gamma_hhveh_fuel_b                0.18708    0.851595
gamma_veh_range_b                 0.91447    0.360467
gamma_suv_b                      -2.23396    0.025485
delta_c                          -2.63417    0.008434
gamma_EV_rangeanxiety_c          -0.49656    0.619496
gamma_risktaker_c                -1.74752    0.080546
gamma_hhincome_c                  0.71234    0.476253
gamma_ev_charge_c                 2.39752    0.016507
gamma_knowledge_ev_c              2.37404    0.017595
gamma_evb_environment_agree_c     0.48281    0.629233
gamma_evb_function_disagree_c     2.98785    0.002809
gamma_hhveh_fuel_c                0.18061    0.856676
gamma_veh_range_c                 3.12170    0.001798
gamma_suv_c                      -3.73026  1.9128e-04
delta_d                           0.94728    0.343494
gamma_EV_rangeanxiety_d          -2.16193    0.030624
gamma_risktaker_d                -3.49505  4.7398e-04
gamma_hhincome_d                 -3.21490    0.001305
gamma_ev_charge_d                 0.17088    0.864318
gamma_knowledge_ev_d              0.91167    0.361941
gamma_evb_environment_agree_d    -0.12362    0.901617
gamma_evb_function_disagree_d     0.86704    0.385921
gamma_hhveh_fuel_d                2.34893    0.018827
gamma_veh_range_d                -0.14917    0.881416
gamma_suv_d                      -2.93356    0.003351
delta_e                                NA          NA
gamma_EV_rangeanxiety_e                NA          NA
gamma_risktaker_e                      NA          NA
gamma_hhincome_e                       NA          NA
gamma_ev_charge_e                      NA          NA
gamma_knowledge_ev_e              1.86565    0.062090
gamma_evb_environment_agree_e          NA          NA
gamma_evb_function_disagree_e          NA          NA
gamma_hhveh_fuel_e                     NA          NA
gamma_veh_range_e                      NA          NA
gamma_suv_e                            NA          NA
delta_f                           5.20232   1.968e-07
gamma_EV_rangeanxiety_f          -3.86291  1.1205e-04
gamma_risktaker_f                 1.28742    0.197950
gamma_hhincome_f                 -0.59798    0.549856
gamma_ev_charge_f                 0.83667    0.402780
gamma_knowledge_ev_f                   NA          NA
gamma_evb_environment_agree_f    -2.59474    0.009466
gamma_evb_function_disagree_f    -0.88584    0.375702
gamma_hhveh_fuel_f               -3.39946  6.7519e-04
gamma_veh_range_f                -2.16427    0.030444
gamma_suv_f                      -2.03398    0.041954
                                 Rob.s.e. Rob.t.rat.(0)
b_no_choice_a                    1.344195      -1.91732
b_mileage_a                      0.247739      -1.90465
b_range_pw1_a                    1.326001       0.08631
b_range_pw2_a                    1.382781       1.36247
b_range_pw3_a                    0.609768       2.20935
b_loss_pw1_a                     0.071558      -3.31501
b_loss_pw2_a                     0.062972      -0.69602
b_loss_pw3_a                     0.087360       0.39539
b_packreplace_a                  0.431182      -2.16169
b_cellreplace_a                  0.417202      -2.57369
b_price_a                        0.651591      -2.25179
b_no_choice_b                    0.387473      -6.48647
b_mileage_b                      0.031216      -7.04114
b_range_pw1_b                    0.364962       3.90844
b_range_pw2_b                    0.220466       5.16967
b_range_pw3_b                    0.165815       6.90767
b_loss_pw1_b                     0.016507      -5.66310
b_loss_pw2_b                     0.013306      -6.84395
b_loss_pw3_b                     0.019460      -2.43948
b_packreplace_b                  0.106176      -6.54221
b_cellreplace_b                  0.110360      -6.63036
b_price_b                        0.099882     -12.07029
b_no_choice_c                    0.749740      -2.62433
b_mileage_c                      0.057549      -5.38634
b_range_pw1_c                    0.417280      13.76002
b_range_pw2_c                    0.470883       6.56021
b_range_pw3_c                    0.733239       5.15451
b_loss_pw1_c                     0.024372      -5.30290
b_loss_pw2_c                     0.015997      -6.36242
b_loss_pw3_c                     0.018971      -3.66264
b_packreplace_c                  0.158845      -0.50356
b_cellreplace_c                  0.144848      -0.68544
b_price_c                        0.287361      -5.16302
b_no_choice_d                    1.661030      -8.33607
b_mileage_d                      0.055151      -4.15263
b_range_pw1_d                    0.399566       2.82207
b_range_pw2_d                    0.356919       1.98156
b_range_pw3_d                    0.507246       1.56606
b_loss_pw1_d                     0.029661      -2.83222
b_loss_pw2_d                     0.020277      -3.39422
b_loss_pw3_d                     0.020424      -3.30461
b_packreplace_d                  0.165948       0.24706
b_cellreplace_d                  0.164851       0.66406
b_price_d                        0.363028     -11.06396
b_no_choice_e                    0.813097     -12.07668
b_mileage_e                      0.040728      -7.37094
b_range_pw1_e                    0.281086       1.66537
b_range_pw2_e                    0.244619       1.92963
b_range_pw3_e                    0.189329       2.87620
b_loss_pw1_e                     0.028572      -8.27383
b_loss_pw2_e                     0.018981     -12.57112
b_loss_pw3_e                     0.030455      -7.21451
b_packreplace_e                  0.125714      -2.23541
b_cellreplace_e                  0.127375      -3.02141
b_price_e                        0.117735      -8.70389
b_no_choice_f                    0.456769      -7.64227
b_mileage_f                      0.029982      -4.78029
b_range_pw1_f                    0.224731       0.78850
b_range_pw2_f                    0.176337      -0.82199
b_range_pw3_f                    0.115760       1.71126
b_loss_pw1_f                     0.014763       0.25439
b_loss_pw2_f                     0.009647      -1.88264
b_loss_pw3_f                     0.010117      -1.96897
b_packreplace_f                  0.104977      -3.65473
b_cellreplace_f                  0.102501      -4.58264
b_price_f                        0.053526      -2.69042
delta_a                          0.500451      -1.73190
gamma_EV_rangeanxiety_a          0.257147       0.08265
gamma_risktaker_a                0.199887      -3.46285
gamma_hhincome_a                 0.016306      -0.66268
gamma_ev_charge_a                0.191174      -2.04315
gamma_knowledge_ev_a             0.202251       0.90718
gamma_evb_environment_agree_a    0.189378      -6.38242
gamma_evb_function_disagree_a    0.277748      -3.55278
gamma_hhveh_fuel_a               0.267730       2.34837
gamma_veh_range_a                0.090964       1.90613
gamma_suv_a                      0.191097       1.06039
delta_b                          0.361683       1.41506
gamma_EV_rangeanxiety_b          0.195484      -0.49647
gamma_risktaker_b                0.154720      -4.20008
gamma_hhincome_b                 0.012643      -0.87010
gamma_ev_charge_b                0.153726      -0.55416
gamma_knowledge_ev_b             0.175636       2.66356
gamma_evb_environment_agree_b    0.149528      -2.54202
gamma_evb_function_disagree_b    0.185952      -1.30060
gamma_hhveh_fuel_b               0.185578       0.17727
gamma_veh_range_b                0.070176       0.86176
gamma_suv_b                      0.152936      -2.14934
delta_c                          0.433493      -2.62693
gamma_EV_rangeanxiety_c          0.221337      -0.49616
gamma_risktaker_c                0.182812      -1.66737
gamma_hhincome_c                 0.014232       0.71114
gamma_ev_charge_c                0.182253       2.30992
gamma_knowledge_ev_c             0.207056       2.36648
gamma_evb_environment_agree_c    0.194851       0.44125
gamma_evb_function_disagree_c    0.195650       2.86162
gamma_hhveh_fuel_c               0.219658       0.16946
gamma_veh_range_c                0.080261       3.10487
gamma_suv_c                      0.278960      -2.80109
delta_d                          0.457604       0.90330
gamma_EV_rangeanxiety_d          0.234646      -2.09680
gamma_risktaker_d                0.212713      -3.24822
gamma_hhincome_d                 0.020000      -2.94386
gamma_ev_charge_d                0.200987       0.16015
gamma_knowledge_ev_d             0.221858       0.86794
gamma_evb_environment_agree_d    0.192066      -0.11707
gamma_evb_function_disagree_d    0.232050       0.78596
gamma_hhveh_fuel_d               0.277202       2.21509
gamma_veh_range_d                0.086351      -0.14182
gamma_suv_d                      0.194342      -2.74320
delta_e                                NA            NA
gamma_EV_rangeanxiety_e                NA            NA
gamma_risktaker_e                      NA            NA
gamma_hhincome_e                       NA            NA
gamma_ev_charge_e                      NA            NA
gamma_knowledge_ev_e             0.178888       1.83972
gamma_evb_environment_agree_e          NA            NA
gamma_evb_function_disagree_e          NA            NA
gamma_hhveh_fuel_e                     NA            NA
gamma_veh_range_e                      NA            NA
gamma_suv_e                            NA            NA
delta_f                          0.341015       5.20364
gamma_EV_rangeanxiety_f          0.186950      -3.81048
gamma_risktaker_f                0.166234       1.21027
gamma_hhincome_f                 0.013032      -0.60453
gamma_ev_charge_f                0.164285       0.81572
gamma_knowledge_ev_f                   NA            NA
gamma_evb_environment_agree_f    0.160149      -2.50339
gamma_evb_function_disagree_f    0.195707      -0.84061
gamma_hhveh_fuel_f               0.186947      -3.19979
gamma_veh_range_f                0.073247      -2.07336
gamma_suv_f                      0.161609      -1.96482
                               p(2-sided)
b_no_choice_a                    0.055197
b_mileage_a                      0.056825
b_range_pw1_a                    0.931219
b_range_pw2_a                    0.173050
b_range_pw3_a                    0.027151
b_loss_pw1_a                   9.1639e-04
b_loss_pw2_a                     0.486419
b_loss_pw3_a                     0.692558
b_packreplace_a                  0.030642
b_cellreplace_a                  0.010062
b_price_a                        0.024336
b_no_choice_b                   8.787e-11
b_mileage_b                     1.907e-12
b_range_pw1_b                   9.289e-05
b_range_pw2_b                   2.345e-07
b_range_pw3_b                   4.927e-12
b_loss_pw1_b                    1.487e-08
b_loss_pw2_b                    7.704e-12
b_loss_pw3_b                     0.014708
b_packreplace_b                 6.062e-11
b_cellreplace_b                 3.349e-11
b_price_b                        0.000000
b_no_choice_c                    0.008682
b_mileage_c                     7.191e-08
b_range_pw1_c                    0.000000
b_range_pw2_c                   5.373e-11
b_range_pw3_c                   2.543e-07
b_loss_pw1_c                    1.140e-07
b_loss_pw2_c                    1.986e-10
b_loss_pw3_c                   2.4962e-04
b_packreplace_c                  0.614571
b_cellreplace_c                  0.493065
b_price_c                       2.430e-07
b_no_choice_d                    0.000000
b_mileage_d                     3.287e-05
b_range_pw1_d                    0.004772
b_range_pw2_d                    0.047529
b_range_pw3_d                    0.117334
b_loss_pw1_d                     0.004623
b_loss_pw2_d                   6.8823e-04
b_loss_pw3_d                   9.5107e-04
b_packreplace_d                  0.804862
b_cellreplace_d                  0.506652
b_price_d                        0.000000
b_no_choice_e                    0.000000
b_mileage_e                     1.694e-13
b_range_pw1_e                    0.095838
b_range_pw2_e                    0.053653
b_range_pw3_e                    0.004025
b_loss_pw1_e                    2.220e-16
b_loss_pw2_e                     0.000000
b_loss_pw3_e                    5.413e-13
b_packreplace_e                  0.025390
b_cellreplace_e                  0.002516
b_price_e                        0.000000
b_no_choice_f                   2.132e-14
b_mileage_f                     1.750e-06
b_range_pw1_f                    0.430406
b_range_pw2_f                    0.411081
b_range_pw3_f                    0.087033
b_loss_pw1_f                     0.799195
b_loss_pw2_f                     0.059749
b_loss_pw3_f                     0.048957
b_packreplace_f                2.5745e-04
b_cellreplace_f                 4.591e-06
b_price_f                        0.007136
delta_a                          0.083291
gamma_EV_rangeanxiety_a          0.934132
gamma_risktaker_a              5.3449e-04
gamma_hhincome_a                 0.507535
gamma_ev_charge_a                0.041037
gamma_knowledge_ev_a             0.364313
gamma_evb_environment_agree_a   1.743e-10
gamma_evb_function_disagree_a  3.8118e-04
gamma_hhveh_fuel_a               0.018856
gamma_veh_range_a                0.056633
gamma_suv_a                      0.288966
delta_b                          0.157051
gamma_EV_rangeanxiety_b          0.619562
gamma_risktaker_b               2.668e-05
gamma_hhincome_b                 0.384246
gamma_ev_charge_b                0.579472
gamma_knowledge_ev_b             0.007732
gamma_evb_environment_agree_b    0.011021
gamma_evb_function_disagree_b    0.193395
gamma_hhveh_fuel_b               0.859298
gamma_veh_range_b                0.388822
gamma_suv_b                      0.031608
delta_c                          0.008616
gamma_EV_rangeanxiety_c          0.619781
gamma_risktaker_c                0.095441
gamma_hhincome_c                 0.476999
gamma_ev_charge_c                0.020893
gamma_knowledge_ev_c             0.017958
gamma_evb_environment_agree_c    0.659035
gamma_evb_function_disagree_c    0.004215
gamma_hhveh_fuel_c               0.865436
gamma_veh_range_c                0.001904
gamma_suv_c                      0.005093
delta_d                          0.366364
gamma_EV_rangeanxiety_d          0.036012
gamma_risktaker_d                0.001161
gamma_hhincome_d                 0.003241
gamma_ev_charge_d                0.872761
gamma_knowledge_ev_d             0.385425
gamma_evb_environment_agree_d    0.906804
gamma_evb_function_disagree_d    0.431893
gamma_hhveh_fuel_d               0.026754
gamma_veh_range_d                0.887221
gamma_suv_d                      0.006084
delta_e                                NA
gamma_EV_rangeanxiety_e                NA
gamma_risktaker_e                      NA
gamma_hhincome_e                       NA
gamma_ev_charge_e                      NA
gamma_knowledge_ev_e             0.065810
gamma_evb_environment_agree_e          NA
gamma_evb_function_disagree_e          NA
gamma_hhveh_fuel_e                     NA
gamma_veh_range_e                      NA
gamma_suv_e                            NA
delta_f                         1.954e-07
gamma_EV_rangeanxiety_f        1.3870e-04
gamma_risktaker_f                0.226173
gamma_hhincome_f                 0.545490
gamma_ev_charge_f                0.414662
gamma_knowledge_ev_f                   NA
gamma_evb_environment_agree_f    0.012301
gamma_evb_function_disagree_f    0.400564
gamma_hhveh_fuel_f               0.001375
gamma_veh_range_f                0.038139
gamma_suv_f                      0.049435


Summary of class allocation for model component :
         Mean prob.
Class_1     0.08655
Class_2     0.20784
Class_3     0.16617
Class_4     0.12795
Class_5     0.22678
Class_6     0.18470


Overview of choices for MNL model component Class_1:
                                     alt1    alt2     alt3
Times available                  17496.00 17496.0 17496.00
Times chosen                      4588.00  4952.0  4714.00
Percentage chosen overall           26.22    28.3    26.94
Percentage chosen when available    26.22    28.3    26.94
                                 no_choice
Times available                   17496.00
Times chosen                       3242.00
Percentage chosen overall            18.53
Percentage chosen when available     18.53



Overview of choices for MNL model component Class_2:
                                     alt1    alt2     alt3
Times available                  17496.00 17496.0 17496.00
Times chosen                      4588.00  4952.0  4714.00
Percentage chosen overall           26.22    28.3    26.94
Percentage chosen when available    26.22    28.3    26.94
                                 no_choice
Times available                   17496.00
Times chosen                       3242.00
Percentage chosen overall            18.53
Percentage chosen when available     18.53



Overview of choices for MNL model component Class_3:
                                     alt1    alt2     alt3
Times available                  17496.00 17496.0 17496.00
Times chosen                      4588.00  4952.0  4714.00
Percentage chosen overall           26.22    28.3    26.94
Percentage chosen when available    26.22    28.3    26.94
                                 no_choice
Times available                   17496.00
Times chosen                       3242.00
Percentage chosen overall            18.53
Percentage chosen when available     18.53



Overview of choices for MNL model component Class_4:
                                     alt1    alt2     alt3
Times available                  17496.00 17496.0 17496.00
Times chosen                      4588.00  4952.0  4714.00
Percentage chosen overall           26.22    28.3    26.94
Percentage chosen when available    26.22    28.3    26.94
                                 no_choice
Times available                   17496.00
Times chosen                       3242.00
Percentage chosen overall            18.53
Percentage chosen when available     18.53



Overview of choices for MNL model component Class_5:
                                     alt1    alt2     alt3
Times available                  17496.00 17496.0 17496.00
Times chosen                      4588.00  4952.0  4714.00
Percentage chosen overall           26.22    28.3    26.94
Percentage chosen when available    26.22    28.3    26.94
                                 no_choice
Times available                   17496.00
Times chosen                       3242.00
Percentage chosen overall            18.53
Percentage chosen when available     18.53



Overview of choices for MNL model component Class_6:
                                     alt1    alt2     alt3
Times available                  17496.00 17496.0 17496.00
Times chosen                      4588.00  4952.0  4714.00
Percentage chosen overall           26.22    28.3    26.94
Percentage chosen when available    26.22    28.3    26.94
                                 no_choice
Times available                   17496.00
Times chosen                       3242.00
Percentage chosen overall            18.53
Percentage chosen when available     18.53



Classical covariance matrix:
                                              b_no_choice_a
b_no_choice_a                                      1.549400
b_mileage_a                                        0.069599
b_range_pw1_a                                      0.862753
b_range_pw2_a                                     -0.449469
b_range_pw3_a                                     -0.080252
b_loss_pw1_a                                       0.029178
b_loss_pw2_a                                      -0.014970
b_loss_pw3_a                                       0.010087
b_packreplace_a                                    0.001856
b_cellreplace_a                                    0.074579
b_price_a                                          0.139657
b_no_choice_b                                     -0.020288
b_mileage_b                                     -3.4321e-04
b_range_pw1_b                                     -0.012705
b_range_pw2_b                                      0.016881
b_range_pw3_b                                      0.002460
b_loss_pw1_b                                     -7.171e-05
b_loss_pw2_b                                     -7.568e-05
b_loss_pw3_b                                    -3.8802e-04
b_packreplace_b                                    0.001366
b_cellreplace_b                                   -0.001385
b_price_b                                         -0.001510
b_no_choice_c                                      0.004478
b_mileage_c                                      -3.125e-05
b_range_pw1_c                                      0.003698
b_range_pw2_c                                    2.8089e-04
b_range_pw3_c                                     -0.002015
b_loss_pw1_c                                      2.845e-05
