Pair ID,Vehicle,Powertrain Type,Model Years (US),Paired With,Pair Category
53,Lincoln Corsair,cv,2020-2024,Corsair Grand Touring,cv + PHEV
53,Corsair Grand Touring,PHEV,2020-2024,Lincoln Corsair,cv + PHEV
54,Lincoln Aviator,cv,2020-2024,Aviator Grand Touring,cv + PHEV
54,Aviator Grand Touring,PHEV,2020-2024,Lincoln Aviator,cv + PHEV
55,Volvo XC60,cv,2016-2024,XC60 Recharge,cv + PHEV
55,XC60 Recharge,PHEV,2018-2024,Volvo XC60,cv + PHEV
56,Volvo XC90,cv,2016-2024,XC90 Recharge,cv + PHEV
56,XC90 Recharge,PHEV,2016-2024,Volvo XC90,cv + PHEV
57,Volvo S60,cv,2019-2024,S60 Recharge,cv + PHEV
57,S60 Recharge,PHEV,2019-2024,Volvo S60,cv + PHEV
58,Mini Countryman,cv,2016-2024,Countryman SE PHEV,cv + PHEV
58,Countryman SE PHEV,PHEV,2018-2024,Mini Countryman,cv + PHEV
59,BMW 3 Series,cv,2016-2024,330e,cv + PHEV
59,330e,PHEV,2016-2024,BMW 3 Series,cv + PHEV
60,BMW 5 Series,cv,2016-2024,530e,cv + PHEV
60,530e,PHEV,2018-2024,BMW 5 Series,cv + PHEV
61,BMW X5,cv,2016-2024,X5 xDrive45e,cv + PHEV
61,X5 xDrive45e,PHEV,2019-2024,BMW X5,cv + PHEV
62,Audi Q5,cv,2016-2024,Q5 TFSI e,cv + PHEV
62,Q5 TFSI e,PHEV,2020-2022,Audi Q5,cv + PHEV
63,Mercedes GLE,cv,2016-2024,GLE 550e / 350de,cv + PHEV
63,GLE 550e / 350de,PHEV,2016-2024 (intermittent),Mercedes GLE,cv + PHEV
64,Nissan Versa Note,cv,2006-2025,Nissan Leaf,cv + bev
64,Nissan Leaf,bev,2010-2024,Nissan Versa Note,cv + bev
65,BMW 4 SERIES,cv,2014 -2025,BMW I4,cv + bev
65,BMW I4,bev,2022 -2026,BMW 4 SERIES,cv + bev
