variable,level,n,perc/mean,,new_bev_very_unlikely,new_bev_somewhat_unlikely,new_bev_neutral,new_bev_somewhat_likely,new_bev_very_likely,,used_bev_very_unlikely,used_bev_somewhat_unlikely,used_bev_neutral,used_bev_somewhat_likely,used_bev_very_likely
knowledge_gas,gas_full knowledge,182,38%,,35%,13%,21%,20%,12%,,31%,15%,20%,26%,7%
knowledge_plugin,plugin_no knowledge,108,22%,,36%,12%,20%,20%,11%,,32%,13%,23%,24%,8%
knowledge_plugin,plugin_partial knowledge,145,30%,,37%,12%,20%,21%,10%,,32%,13%,24%,23%,7%
knowledge_plugin,plugin_full knowledge,232,48%,,33%,13%,22%,19%,13%,,32%,16%,19%,24%,9%
knowledge_ev,ev_no knowledge,153,32%,,49%,12%,16%,14%,9%,,44%,12%,22%,20%,3%
knowledge_ev,ev_full knowledge,332,68%,,28%,12%,24%,23%,13%,,27%,16%,21%,26%,11%
knowledge_subsidy,subsidy_no knowledge,389,80%,,38%,12%,19%,20%,11%,,35%,14%,21%,23%,7%
knowledge_subsidy,subsidy_full knowledge,96,20%,,22%,14%,30%,21%,14%,,21%,17%,24%,26%,13%
Veh_hh_fuel,ICEV-only,356,73%,,36%,14%,23%,20%,8%,,34%,15%,23%,23%,5%
Veh_hh_fuel,EV-only,88,18%,,33%,14%,19%,23%,11%,,30%,17%,19%,22%,13%
Veh_hh_fuel,EV-mixed-fuel,40,8%,,30%,NA,15%,15%,40%,,23%,8%,10%,35%,25%
Veh_hh_fuel,Vehfuel_other,1,0%,,100%,NA,NA,NA,NA,,100%,NA,NA,NA,NA
EV_charger,EVc_no,257,53%,,0.44,0.121,0.198,0.16,0.082,,0.401,0.136,0.206,0.206,0.051
EV_charger,EVc_yes,198,41%,,0.227,0.116,0.242,0.247,0.167,,0.217,0.162,0.212,0.283,0.126
EV_charger,EVc_not sure,29,6%,,0.379,0.207,0.138,0.241,0.034,,0.345,0.103,0.31,0.172,0.069
EV_neighbor,EVn_no,210,43%,,0.462,0.119,0.205,0.157,0.057,,0.443,0.143,0.205,0.171,0.038
EV_neighbor,EVn_yes,161,33%,,0.23,0.112,0.224,0.242,0.193,,0.18,0.143,0.199,0.323,0.155
EV_neighbor,EVn_not sure,113,23%,,0.31,0.15,0.212,0.221,0.106,,0.301,0.15,0.257,0.23,0.062
age_num,age_num,,46.961,,50.148,47.433,46.097,44.306,43,,51.237,49.557,45.115,43.296,41.075
hhincome_num,hhincome_num,,78762.994,,68869.048,71000,87549.02,84591.837,91226.415,,73645.161,89927.536,70533.981,85350.877,81750
hhsize_num,hhsize_num,,2.711,,2.639,2.55,2.612,2.888,2.982,,2.615,2.486,2.558,3.043,2.925
FA_EV_benefit,FA_EV_benefit,,0.000,,-0.69,0.061,0.117,0.555,0.844,,-0.729,-0.018,0.195,0.517,0.881
FA_EV_anxiety,FA_EV_anxiety,,0.000,,0.31,-0.184,-0.171,-0.19,-0.092,,0.33,-0.149,-0.038,-0.209,-0.325
Veh_hh_count,Veh_hh_count,,1.682,,1.645,1.417,1.845,1.68,1.782,,1.628,1.6,1.769,1.754,1.6
